s,x,y,kappa,n_l,n_r
2.6,2.615,-0.47,0.053,0.441,0.434
2.65,2.665,-0.469,0.05,0.442,0.433
2.7,2.715,-0.468,0.047,0.442,0.431
2.75,2.764,-0.467,0.043,0.443,0.43
2.8,2.814,-0.465,0.038,0.443,0.429
2.85,2.864,-0.464,0.033,0.444,0.429
2.9,2.914,-0.463,0.028,0.445,0.429
2.95,2.964,-0.461,0.022,0.446,0.429
3.0,3.014,-0.46,0.016,0.447,0.429
3.05,3.064,-0.458,0.01,0.448,0.43
3.1,3.114,-0.457,0.005,0.449,0.431
3.15,3.164,-0.455,0.0,0.451,0.433
3.2,3.214,-0.454,-0.004,0.452,0.434
3.25,3.264,-0.452,-0.007,0.454,0.436
3.3,3.314,-0.45,-0.009,0.455,0.439
3.35,3.364,-0.449,-0.01,0.457,0.441
3.4,3.414,-0.447,-0.01,0.458,0.444
3.45,3.464,-0.446,-0.009,0.46,0.447
3.5,3.514,-0.444,-0.007,0.461,0.45
3.55,3.564,-0.443,-0.005,0.463,0.453
3.6,3.614,-0.441,-0.001,0.464,0.456
3.65,3.664,-0.44,0.003,0.465,0.459
3.7,3.714,-0.439,0.007,0.467,0.462
3.75,3.764,-0.437,0.011,0.468,0.465
3.8,3.814,-0.436,0.016,0.469,0.469
3.85,3.864,-0.434,0.021,0.47,0.472
3.9,3.914,-0.433,0.027,0.472,0.475
3.95,3.964,-0.431,0.032,0.473,0.478
4.0,4.014,-0.429,0.037,0.474,0.481
4.05,4.064,-0.427,0.042,0.475,0.485
4.1,4.114,-0.425,0.048,0.476,0.488
4.15,4.164,-0.423,0.053,0.477,0.491
4.2,4.214,-0.421,0.059,0.478,0.494
4.25,4.264,-0.419,0.064,0.479,0.497
4.3,4.314,-0.416,0.071,0.481,0.501
4.35,4.364,-0.414,0.077,0.482,0.504
4.4,4.414,-0.411,0.085,0.483,0.508
4.45,4.463,-0.408,0.093,0.485,0.512
4.5,4.513,-0.405,0.101,0.487,0.516
4.55,4.563,-0.401,0.111,0.488,0.52
4.6,4.613,-0.397,0.123,0.49,0.525
4.65,4.663,-0.393,0.136,0.492,0.53
4.7,4.713,-0.389,0.15,0.495,0.535
4.75,4.762,-0.384,0.167,0.497,0.54
4.8,4.812,-0.379,0.186,0.5,0.547
4.85,4.862,-0.373,0.208,0.503,0.553
4.9,4.911,-0.367,0.233,0.506,0.56
4.95,4.961,-0.36,0.262,0.51,0.567
5.0,5.01,-0.352,0.295,0.514,0.575
5.05,5.06,-0.344,0.333,0.518,0.584
5.1,5.109,-0.335,0.376,0.522,0.593
5.15,5.158,-0.325,0.425,0.527,0.602
5.2,5.207,-0.314,0.481,0.533,0.612
5.25,5.255,-0.302,0.543,0.538,0.622
5.3,5.303,-0.289,0.613,0.544,0.633
5.35,5.351,-0.274,0.691,0.55,0.644
5.4,5.398,-0.258,0.777,0.557,0.656
5.45,5.445,-0.239,0.87,0.563,0.667
5.5,5.491,-0.219,0.968,0.57,0.679
5.55,5.535,-0.196,1.07,0.578,0.691
5.6,5.579,-0.172,1.171,0.585,0.702
5.65,5.62,-0.144,1.267,0.592,0.714
5.7,5.66,-0.114,1.351,0.6,0.725
5.75,5.698,-0.082,1.417,0.607,0.736
5.8,5.734,-0.046,1.459,0.615,0.746
5.85,5.767,-0.009,1.475,0.622,0.756
5.9,5.797,0.031,1.463,0.629,0.765
5.95,5.823,0.074,1.428,0.636,0.773
6.0,5.847,0.117,1.376,0.643,0.781
6.05,5.868,0.163,1.312,0.649,0.788
6.1,5.886,0.21,1.245,0.655,0.793
6.15,5.9,0.258,1.182,0.661,0.798
6.2,5.912,0.306,1.128,0.666,0.802
6.25,5.922,0.355,1.088,0.671,0.805
6.3,5.928,0.405,1.067,0.675,0.806
6.35,5.932,0.455,1.066,0.678,0.807
6.4,5.933,0.505,1.09,0.681,0.807
6.45,5.932,0.555,1.143,0.683,0.806
6.5,5.927,0.604,1.226,0.685,0.804
6.55,5.92,0.654,1.342,0.686,0.801
6.6,5.909,0.703,1.493,0.686,0.797
6.65,5.895,0.751,1.674,0.685,0.792
6.7,5.877,0.797,1.874,0.683,0.786
6.75,5.855,0.842,2.069,0.681,0.78
6.8,5.828,0.884,2.227,0.678,0.773
6.85,5.796,0.923,2.312,0.675,0.765
6.9,5.76,0.958,2.299,0.671,0.757
6.95,5.721,0.988,2.189,0.666,0.748
7.0,5.678,1.014,2.006,0.661,0.739
7.05,5.633,1.036,1.782,0.655,0.729
7.1,5.586,1.053,1.551,0.649,0.719
7.15,5.538,1.067,1.333,0.642,0.709
7.2,5.489,1.077,1.139,0.636,0.699
7.25,5.44,1.085,0.973,0.629,0.689
7.3,5.39,1.09,0.831,0.622,0.678
7.35,5.34,1.094,0.712,0.615,0.668
7.4,5.29,1.095,0.612,0.608,0.658
7.45,5.24,1.095,0.527,0.602,0.647
7.5,5.19,1.094,0.455,0.595,0.638
7.55,5.14,1.091,0.393,0.589,0.628
7.6,5.09,1.088,0.339,0.583,0.619
7.65,5.04,1.083,0.292,0.577,0.609
7.7,4.991,1.078,0.25,0.572,0.601
7.75,4.941,1.073,0.212,0.567,0.592
7.8,4.891,1.067,0.178,0.562,0.584
7.85,4.842,1.06,0.148,0.557,0.576
7.9,4.792,1.053,0.119,0.553,0.569
7.95,4.743,1.046,0.093,0.549,0.561
8.0,4.693,1.038,0.069,0.546,0.554
8.05,4.644,1.031,0.047,0.542,0.548
8.1,4.595,1.023,0.026,0.539,0.541
8.15,4.545,1.015,0.007,0.536,0.535
8.2,4.496,1.007,-0.01,0.533,0.53
8.25,4.446,1.0,-0.026,0.53,0.524
8.3,4.397,0.992,-0.04,0.528,0.519
8.35,4.348,0.984,-0.053,0.525,0.514
8.4,4.298,0.977,-0.065,0.523,0.509
8.45,4.249,0.969,-0.075,0.521,0.505
8.5,4.199,0.962,-0.084,0.518,0.501
8.55,4.15,0.955,-0.091,0.516,0.497
8.6,4.1,0.948,-0.098,0.515,0.493
8.65,4.051,0.942,-0.103,0.513,0.49
8.7,4.001,0.936,-0.107,0.511,0.487
8.75,3.951,0.93,-0.111,0.51,0.484
