s,x,y,kappa
0.0,0.07498279637359352,0.1315758696190311,0.5761702566164575
0.01,0.08495431413482017,0.1308164366638297,0.5739005356155131
0.02,0.09492991238677495,0.13011498541032362,0.5614168091940309
0.03,0.10490924063496393,0.12946995516933038,0.5424673345047851
0.04,0.11489194838489317,0.12887978525166738,0.5196241345280673
0.05,0.12487768514206876,0.12834291496815203,0.49418677659841953
0.06,0.13486610041199681,0.1278577836296018,0.4664089051216562
0.07,0.1448568437001834,0.1274228305468341,0.43589382739261306
0.08,0.15484956451213458,0.12703649503066636,0.402005411096456
0.09,0.1648439137748099,0.12669714904366858,0.3641893296679979
0.1,0.17483958410534303,0.12640118927433605,0.3221618533119221
0.11,0.18483631552187962,0.1261427665584624,0.2759702212604836
0.12,0.19483385061209058,0.1259159099881302,0.2259559878984782
0.13,0.20483193197139601,0.12571464861553755,0.17266400656964304
0.14,0.2148303319430012,0.1255328583842912,0.11673488847967764
0.15,0.2248289199380586,0.12536391563990795,0.058810170230577156
0.16,0.23482758513394988,0.1252010949932887,-0.0005216989518403826
0.17,0.2448262167080566,0.12503767105533425,-0.06074684541735605
0.18,0.25482470528732915,0.12486699452037835,-0.12137125558245085
0.19,0.26482296070199973,0.12468342400438107,-0.18183668583633666
0.2,0.2748209063883052,0.12448203226092738,-0.24138308981480752
0.21,0.28481846607076394,0.12425790717461618,-0.29896607140505416
0.22,0.29481556301593803,0.12400613308819905,-0.3532269522064504
0.23,0.30481194928581096,0.12372047024246013,-0.4025555662810836
0.24,0.31480694986204,0.1233913758245865,-0.4452692936060962
0.25,0.3247998242341764,0.1230088005036162,-0.47987237506567293
0.26,0.3347898318917716,0.12256269494858733,-0.5053283991572651
0.27,0.3447762724276578,0.12204389986981215,-0.5212620564600714
0.28,0.3547588983451811,0.12145330774994968,-0.5280074471998751
0.29,0.3647377481586945,0.12079815872190072,-0.5264583418706027
0.3,0.3747128648788885,0.12008579270904528,-0.517734242604744
0.31,0.38468429128373444,0.11932354092222479,-0.5027296046986327
0.32,0.3946520141658447,0.11851663858981505,-0.4816603030563661
0.33,0.4046158919722811,0.11766551593352922,-0.4537428111969515
0.34,0.4145757652389937,0.11676993261805269,-0.41712768497688446
0.35,0.42453147450193257,0.11582964830807074,-0.36916324270680867
0.36,0.43448283195946763,0.11484420729749752,-0.30698857647485595
0.37,0.4444294575509299,0.11381169267652157,-0.2283621418877781
0.38,0.45437089133392683,0.11272958041968119,-0.13254482464055367
0.39,0.4643066731059959,0.11159534452493365,-0.021001659922556523
0.4,0.47423654287015404,0.11040822782333262,0.10230422254416703
0.41,0.4841631230631878,0.10919293970289203,0.2311649745145995
0.42,0.4940911985015538,0.10799329436701847,0.357921466544034
0.43,0.5040256064565279,0.10685356946207818,0.4746260787813572
0.44,0.5139710864356696,0.10581727655950439,0.5742826900037742
0.45,0.5239292054172574,0.10490306734147861,0.6518450976996635
0.46,0.5338977396087147,0.10409988906975093,0.704734983570127
0.47,0.5438742425754789,0.10339494438698874,0.7327955995148929
