s,x,y,kappa,n_l,n_r
6.3,5.928,0.405,1.067,0.724,0.838
6.35,5.932,0.455,1.066,0.732,0.825
6.4,5.933,0.505,1.09,0.743,0.822
6.45,5.932,0.555,1.143,0.751,0.821
6.5,5.927,0.604,1.226,0.756,0.82
6.55,5.92,0.654,1.342,0.758,0.825
6.6,5.909,0.703,1.493,0.756,0.859
6.65,5.895,0.751,1.674,0.751,0.894
6.7,5.877,0.797,1.874,0.744,0.957
6.75,5.855,0.842,2.069,0.74,1.043
6.8,5.828,0.884,2.227,0.748,1.201
6.85,5.796,0.923,2.312,0.779,1.28
6.9,5.76,0.958,2.299,0.823,1.05
6.95,5.721,0.988,2.189,0.823,0.937
7.0,5.678,1.014,2.006,0.823,0.872
7.05,5.633,1.036,1.782,0.823,0.82
7.1,5.586,1.053,1.551,0.823,0.777
7.15,5.538,1.067,1.333,0.823,0.747
7.2,5.489,1.077,1.139,0.823,0.72
7.25,5.44,1.085,0.973,0.823,0.682
7.3,5.39,1.09,0.831,0.823,0.663
7.35,5.34,1.094,0.712,0.823,0.658
7.4,5.29,1.095,0.612,0.823,0.651
7.45,5.24,1.095,0.527,0.823,0.636
7.5,5.19,1.094,0.455,0.625,0.623
7.55,5.14,1.091,0.393,0.574,0.611
7.6,5.09,1.088,0.339,0.548,0.61
7.65,5.04,1.083,0.292,0.545,0.594
7.7,4.991,1.078,0.25,0.54,0.586
7.75,4.941,1.073,0.212,0.535,0.587
7.8,4.891,1.067,0.178,0.535,0.579
7.85,4.842,1.06,0.148,0.545,0.578
7.9,4.792,1.053,0.119,0.563,0.564
7.95,4.743,1.046,0.093,0.561,0.566
8.0,4.693,1.038,0.069,0.554,0.561
8.05,4.644,1.031,0.047,0.546,0.55
8.1,4.595,1.023,0.026,0.549,0.535
8.15,4.545,1.015,0.007,0.531,0.532
8.2,4.496,1.007,-0.01,0.558,0.527
8.25,4.446,1.0,-0.026,0.545,0.518
8.3,4.397,0.992,-0.04,0.556,0.515
8.35,4.348,0.984,-0.053,0.543,0.508
8.4,4.298,0.977,-0.065,0.54,0.502
8.45,4.249,0.969,-0.075,0.529,0.507
8.5,4.199,0.962,-0.084,0.526,0.494
8.55,4.15,0.955,-0.091,0.524,0.485
8.6,4.1,0.948,-0.098,0.507,0.492
8.65,4.051,0.942,-0.103,0.515,0.493
8.7,4.001,0.936,-0.107,0.51,0.471
8.75,3.951,0.93,-0.111,0.512,0.465
8.8,3.902,0.924,-0.114,0.508,0.47
8.85,3.852,0.919,-0.117,0.5,0.47
8.9,3.802,0.914,-0.119,0.505,0.47
8.95,3.752,0.909,-0.121,0.49,0.479
9.0,3.703,0.904,-0.123,0.486,0.479
9.05,3.653,0.9,-0.125,0.496,0.463
9.1,3.603,0.896,-0.128,0.486,0.466
9.15,3.553,0.893,-0.13,0.483,0.46
9.2,3.503,0.889,-0.134,0.494,0.452
9.25,3.453,0.886,-0.137,0.481,0.455
9.3,3.403,0.884,-0.141,0.483,0.468
9.35,3.353,0.882,-0.145,0.511,0.46
9.4,3.303,0.88,-0.15,0.509,0.467
9.45,3.253,0.878,-0.155,0.507,0.473
9.5,3.203,0.877,-0.16,0.516,0.469
9.55,3.153,0.876,-0.166,0.515,0.47
9.6,3.103,0.876,-0.172,0.532,0.475
9.65,3.053,0.876,-0.178,0.53,0.49
9.7,3.003,0.877,-0.184,0.531,0.489
9.75,2.953,0.878,-0.191,0.547,0.498
9.8,2.903,0.879,-0.197,0.539,0.497
9.85,2.854,0.881,-0.203,0.543,0.5
9.9,2.804,0.884,-0.209,0.564,0.498
9.95,2.754,0.887,-0.214,0.562,0.509
10.0,2.704,0.89,-0.219,0.576,0.532
10.05,2.654,0.895,-0.224,0.586,0.529
10.1,2.604,0.899,-0.228,0.586,0.534
10.15,2.554,0.904,-0.231,0.602,0.535
10.2,2.505,0.91,-0.233,0.609,0.531
10.25,2.455,0.917,-0.234,0.606,0.538
10.3,2.406,0.924,-0.234,0.619,0.558
10.35,2.356,0.931,-0.232,0.623,0.562
10.4,2.307,0.939,-0.229,0.642,0.569
10.45,2.258,0.948,-0.225,0.647,0.593
10.5,2.209,0.957,-0.219,0.653,0.603
10.55,2.16,0.967,-0.211,0.675,0.627
