s,x,y,kappa,n_l,n_r
28.15,-1.122,3.14,0.393,0.428,0.484
28.2,-1.133,3.091,0.36,0.405,0.466
28.25,-1.142,3.042,0.331,0.406,0.454
28.3,-1.151,2.993,0.307,0.393,0.444
28.35,-1.159,2.944,0.287,0.37,0.435
28.4,-1.167,2.894,0.27,0.362,0.421
28.45,-1.174,2.845,0.256,0.36,0.414
28.5,-1.18,2.795,0.244,0.348,0.412
28.55,-1.185,2.746,0.236,0.338,0.401
28.6,-1.19,2.696,0.229,0.348,0.4
28.65,-1.195,2.646,0.223,0.33,0.395
28.7,-1.198,2.596,0.219,0.334,0.386
28.75,-1.202,2.546,0.216,0.334,0.388
28.8,-1.204,2.496,0.214,0.331,0.385
28.85,-1.207,2.446,0.212,0.333,0.377
28.9,-1.208,2.396,0.21,0.344,0.391
28.95,-1.209,2.346,0.209,0.345,0.386
29.0,-1.21,2.296,0.207,0.341,0.389
29.05,-1.21,2.246,0.205,0.36,0.413
29.1,-1.21,2.196,0.202,0.371,0.409
29.15,-1.209,2.146,0.198,0.355,0.415
29.2,-1.208,2.096,0.194,0.369,0.426
29.25,-1.206,2.046,0.188,0.368,0.428
29.3,-1.203,1.996,0.181,0.365,0.434
29.35,-1.2,1.947,0.173,0.383,0.435
29.4,-1.197,1.897,0.163,0.4,0.442
29.45,-1.194,1.847,0.152,0.391,0.446
29.5,-1.19,1.797,0.139,0.398,0.444
29.55,-1.185,1.747,0.125,0.408,0.45
29.6,-1.181,1.697,0.109,0.409,0.448
29.65,-1.176,1.648,0.093,0.414,0.455
29.7,-1.17,1.598,0.076,0.424,0.446
29.75,-1.165,1.548,0.058,0.435,0.454
29.8,-1.16,1.498,0.041,0.449,0.452
29.85,-1.154,1.449,0.025,0.459,0.453
29.9,-1.148,1.399,0.01,0.478,0.458
29.95,-1.143,1.349,-0.003,0.477,0.464
30.0,-1.137,1.3,-0.012,0.496,0.47
30.05,-1.131,1.25,-0.017,0.506,0.476
30.1,-1.126,1.2,-0.017,0.505,0.486
30.15,-1.12,1.151,-0.01,0.545,0.482
30.2,-1.114,1.101,0.004,0.544,0.497
30.25,-1.109,1.051,0.026,0.554,0.502
30.3,-1.103,1.002,0.057,0.582,0.511
30.35,-1.098,0.952,0.096,0.593,0.525
30.4,-1.092,0.902,0.144,0.602,0.536
30.45,-1.085,0.853,0.2,0.637,0.543
30.5,-1.078,0.803,0.262,0.646,0.561
30.55,-1.071,0.754,0.331,0.65,0.575
30.6,-1.063,0.704,0.404,0.686,0.6
30.65,-1.053,0.655,0.48,0.709,0.719
30.7,-1.043,0.606,0.557,0.721,0.75
30.75,-1.031,0.558,0.633,0.739,0.772
30.8,-1.018,0.51,0.706,0.753,0.809
30.85,-1.003,0.462,0.776,0.768,0.84
30.9,-0.986,0.415,0.84,0.785,0.865
30.95,-0.967,0.369,0.897,0.795,0.895
31.0,-0.946,0.323,0.948,0.804,0.904
31.05,-0.923,0.279,0.99,0.811,0.948
31.1,-0.898,0.236,1.025,0.813,0.947
31.15,-0.871,0.194,1.052,0.815,0.953
31.2,-0.841,0.153,1.071,0.813,0.965
31.25,-0.809,0.115,1.081,0.813,0.978
31.3,-0.776,0.078,1.083,0.813,0.997
31.35,-0.74,0.043,1.077,0.813,1.012
31.4,-0.702,0.01,1.062,0.813,1.029
31.45,-0.663,-0.021,1.039,0.812,1.06
31.5,-0.622,-0.05,1.008,0.814,1.092
31.55,-0.58,-0.077,0.969,0.815,1.111
31.6,-0.537,-0.102,0.923,0.816,1.082
31.65,-0.492,-0.124,0.871,0.822,1.038
31.7,-0.447,-0.145,0.815,0.824,1.001
31.75,-0.4,-0.164,0.755,0.831,0.965
31.8,-0.354,-0.181,0.692,0.833,0.934
31.85,-0.306,-0.197,0.629,0.812,0.913
31.9,-0.258,-0.211,0.565,0.806,0.89
31.95,-0.21,-0.223,0.503,0.808,0.871
32.0,-0.161,-0.235,0.443,0.807,0.855
32.05,-0.112,-0.245,0.302,0.794,0.84
32.1,-0.063,-0.255,0.192,0.779,0.829
