s,x,y,kappa,v_ref
0.0,5.0,0.0,0.5560562770770056,1.640952815369311
0.051154962743659924,4.999273369349668,0.05114335234879665,0.5550379503845703,1.6424547467331445
0.10230992548731985,4.997095780675085,0.10223576371915191,0.5538283949450127,1.6442440914427543
0.15346488823097976,4.993473128404771,0.15323642348551916,0.5517531384148073,1.6473277750362727
0.2046198509746397,4.988414651998685,0.20410518117016396,0.5487430005040907,1.651831619959351
0.25577481371829963,4.981932780561526,0.25480281058376164,0.5450306309686039,1.657437369303849
0.3069297764619595,4.974042971129077,0.30529124905269084,0.5405840488815586,1.6642275117841727
0.35808473920561945,4.964763531944054,0.3555338213745269,0.5353565508620134,1.672317886623047
0.4092397019492794,4.954115417204116,0.4054954399788244,0.5295443060600201,1.6814532638427686
0.4603946646929393,4.9421219767354545,0.4551427593309607,0.5231414457362907,1.691692322732293
0.5115496274365993,4.928808715189042,0.5044443153924772,0.5161364857309485,1.703111335944693
0.5627045901802592,4.914203037219134,0.553370634587641,0.5087016618717813,1.7154876850073666
0.613859552923919,4.8983339736983,0.601894294253564,0.5008686013058375,1.7288233386350111
0.665014515667579,4.88123192427422,0.6499899694145788,0.4926097117300783,1.743226348747392
0.7161694784112389,4.86292840463429,0.6976344566446775,0.4840840946219714,1.7584786997230393
0.7673244411548988,4.843455793618768,0.7448066532213841,0.47533822226247563,1.7745486645555422
0.8184794038985588,4.82284710064227,0.7914875250823057,0.4663669051604904,1.7914993355443802
0.8696343666422187,4.801135748811124,0.8376600650105066,0.45725827856859275,1.809216208400897
0.9207893293858787,4.778355371235891,0.8833092203609453,0.44807206832974195,1.8276271787018585
0.9719442921295386,4.75453962766843,0.9284218084451548,0.4388453139378923,1.8466970049155167
1.0230992548731985,4.729722040413773,0.9729864287751734,0.4295856464536316,1.8664478299997387
1.0742542176168584,4.703935847000955,1.0169933705194356,0.4203601093952654,1.8867698184556065
1.1254091803605184,4.677213873123189,1.0604345042428016,0.4111978599948279,1.9076239361719156
1.1765641431041782,4.649588423737411,1.10330317510793,0.4021236596724747,1.928974495453445
1.227719105847838,4.6210911903509855,1.1455940973277494,0.3931580517347007,1.9507895846947367
1.278874068591498,4.591753172340151,1.1873032509897314,0.3843252736596698,1.97302179069391
1.330029031335158,4.561604614460769,1.2284277770454592,0.37564371732448354,1.9956311110037326
1.381183994078818,4.530674958822905,1.2689658745767178,0.36712694373367927,2.0
1.4323389568224778,4.498992807479936,1.3089167042876126,0.3587863286769241,2.0
1.4834939195661379,4.466585895506774,1.3482802964227938,0.3506324853250781,2.0
1.5346488823097977,4.433481072967127,1.3870574637948274,0.34268206384633065,2.0
1.5858038450534577,4.399704294867142,1.4252497198447418,0.3349317865618219,2.0
1.6369588077971176,4.365280620068618,1.4628592006932795,0.32738535380322326,2.0
1.6881137705407774,4.330234215235239,1.499888593548202,0.32004512812480407,2.0
1.7392687332844374,4.294588363625981,1.536341070556039,0.31291227824659684,2.0
1.7904236960280973,4.258365478135729,1.5722202277823096,0.30598691562579217,2.0
1.8415786587717573,4.221587117830282,1.6075300291549015,0.29926822292512983,2.0
1.8927336215154171,4.184274007304575,1.64227475516424,0.2927552578402515,2.0
1.9438885842590772,4.146446058198756,1.676458956102673,0.286454709859597,2.0
1.995043547002737,4.108122392400602,1.7100874095598044,0.2803532062998195,2.0
2.046198509746397,4.069321366881781,1.7431650818333468,0.2744472221573771,2.0
2.097353472490057,4.030060599149284,1.775697093166015,0.26873284428054256,2.0
2.1485084352337167,3.990356993175489,1.8076886864522699,0.26320584440931294,2.0
2.1996633979773765,3.950226765592147,1.8391451991333354,0.2578617445986565,2.0
2.250818360721037,3.909685471914002,1.8700720380282725,0.252695875505585,2.0
2.3019733234646966,3.8687480325973804,1.9004746568594328,0.24770342800010897,2.0
2.3531282862083565,3.8274287587739417,1.9303585362427684,0.24287949859896252,2.0
2.4042832489520163,3.7857413775301634,1.959729165926577,0.23821912920159302,2.0
2.455438211695676,3.7436990566294996,1.9885920290759402,0.23371734162590746,2.0
2.5065931744393364,3.7013144285968225,2.0169525884139383,0.22936916738872173,2.0
2.557748137182996,3.6585996141041726,2.044816274044438,0.22516967319602207,2.0
2.608903099926656,3.6155662446133645,2.0721884727946622,0.22111398255619563,2.0
2.660058062670316,3.5722254842448957,2.0990745189286146,0.2171972939168046,2.0
2.711213025413976,3.5285880508543066,2.1254796860947835,0.2134148957021823,2.0
2.762367988157636,3.484664236306875,2.151409180383142,0.20976217859234111,2.0
2.813522950901296,3.4404639259494907,2.1768681343774148,0.20623464536321826,2.0
2.8646779136449556,3.3959966172851765,2.2018616020987634,0.20282791858045315,2.0
2.9158328763886154,3.351271437860976,2.226394554746508,0.19953774641531444,2.0
2.9669878391322757,3.3062971623841424,2.2504718771502596,0.19636000682297539,2.0
3.0181428018759355,3.2610822290849,2.274098364855894,0.1932907103019329,2.0
3.0692977646195954,3.215634755346569,2.2972787217751844,0.19032600143007578,2.0
3.120452727363255,3.1699625526257296,2.3200175583357128,0.1874621593583056,2.0
3.1716076901069155,3.1240731406864657,2.3423193900738375,0.18469559741871905,2.0
3.2227626528505753,3.0779737611736055,2.364188636619149,0.18202286197691342,2.0
3.273917615594235,3.0316713905503985,2.385629621023978,0.17944063067334434,2.0
3.325072578337895,2.98517275241385,2.406646569390912,0.17695078843069062,2.0
3.3762275410815548,2.938484329156316,2.4272436107336754,0.1745463492503917,2.0
3.427382503825215,2.891612373183803,2.44742477711352,0.1722232023102818,2.0
3.478537466568875,2.8445629176027265,2.467194003982557,0.169978499520272,2.0
