s,x,y,kappa,n_l,n_r
1.31,1.338,0.067,0.207,0.663,0.66
1.32,1.348,0.067,0.209,0.663,0.659
1.33,1.358,0.067,0.211,0.663,0.659
1.34,1.368,0.067,0.212,0.664,0.658
1.35,1.378,0.067,0.214,0.664,0.657
1.36,1.388,0.067,0.215,0.664,0.657
1.37,1.398,0.067,0.216,0.664,0.656
1.38,1.408,0.068,0.218,0.664,0.656
1.39,1.418,0.068,0.219,0.664,0.655
1.4,1.428,0.068,0.22,0.664,0.655
1.41,1.438,0.068,0.222,0.664,0.654
1.42,1.448,0.068,0.223,0.664,0.654
1.43,1.458,0.068,0.224,0.664,0.653
1.44,1.468,0.069,0.225,0.664,0.653
1.45,1.478,0.069,0.226,0.664,0.653
1.46,1.488,0.069,0.227,0.664,0.652
1.47,1.498,0.07,0.228,0.664,0.652
1.48,1.508,0.07,0.229,0.664,0.652
1.49,1.518,0.07,0.229,0.664,0.652
1.5,1.528,0.071,0.229,0.663,0.651
1.51,1.538,0.071,0.227,0.663,0.651
1.52,1.548,0.072,0.225,0.663,0.651
1.53,1.558,0.072,0.219,0.663,0.651
1.54,1.568,0.073,0.211,0.663,0.651
1.55,1.578,0.073,0.198,0.662,0.651
1.56,1.588,0.074,0.18,0.662,0.651
1.57,1.598,0.074,0.156,0.662,0.65
1.58,1.608,0.075,0.127,0.662,0.65
1.59,1.618,0.075,0.092,0.661,0.65
1.6,1.628,0.076,0.055,0.661,0.651
1.61,1.638,0.077,0.018,0.661,0.651
1.62,1.648,0.077,-0.016,0.66,0.651
1.63,1.658,0.078,-0.044,0.66,0.651
1.64,1.668,0.079,-0.063,0.659,0.651
1.65,1.678,0.079,-0.073,0.659,0.651
1.66,1.688,0.08,-0.073,0.658,0.651
1.67,1.698,0.08,-0.065,0.658,0.651
1.68,1.708,0.081,-0.051,0.658,0.651
1.69,1.718,0.081,-0.035,0.657,0.65
1.7,1.728,0.082,-0.019,0.657,0.65
1.71,1.738,0.082,-0.005,0.657,0.65
1.72,1.748,0.083,0.005,0.656,0.65
1.73,1.758,0.084,0.01,0.656,0.65
1.74,1.768,0.084,0.01,0.656,0.65
1.75,1.778,0.085,0.006,0.656,0.65
1.76,1.788,0.085,-0.002,0.655,0.65
1.77,1.798,0.086,-0.012,0.655,0.65
1.78,1.808,0.086,-0.024,0.655,0.65
1.79,1.818,0.087,-0.036,0.654,0.65
1.8,1.828,0.087,-0.048,0.654,0.65
1.81,1.838,0.088,-0.059,0.653,0.65
1.82,1.848,0.089,-0.07,0.653,0.65
1.83,1.858,0.089,-0.079,0.653,0.65
1.84,1.868,0.09,-0.087,0.653,0.65
1.85,1.878,0.09,-0.094,0.652,0.65
1.86,1.888,0.091,-0.1,0.652,0.65
1.87,1.898,0.091,-0.106,0.652,0.65
1.88,1.908,0.092,-0.111,0.651,0.649
1.89,1.918,0.092,-0.115,0.651,0.649
1.9,1.928,0.093,-0.118,0.651,0.649
1.91,1.938,0.093,-0.12,0.651,0.649
1.92,1.948,0.093,-0.12,0.65,0.649
1.93,1.958,0.094,-0.119,0.65,0.649
1.94,1.968,0.094,-0.116,0.65,0.649
1.95,1.978,0.095,-0.112,0.65,0.648
1.96,1.988,0.095,-0.107,0.65,0.648
1.97,1.998,0.095,-0.101,0.649,0.648
1.98,2.008,0.096,-0.095,0.649,0.648
1.99,2.018,0.096,-0.09,0.649,0.648
2.0,2.028,0.096,-0.084,0.649,0.647
2.01,2.038,0.097,-0.08,0.649,0.647
2.02,2.048,0.097,-0.077,0.649,0.647
2.03,2.058,0.097,-0.074,0.649,0.647
2.04,2.068,0.098,-0.073,0.649,0.646
2.05,2.078,0.098,-0.072,0.649,0.646
2.06,2.088,0.098,-0.072,0.648,0.646
2.07,2.098,0.099,-0.072,0.648,0.645
2.08,2.108,0.099,-0.072,0.648,0.645
2.09,2.118,0.099,-0.072,0.648,0.645
2.1,2.128,0.1,-0.073,0.648,0.645
2.11,2.138,0.1,-0.073,0.648,0.644
2.12,2.148,0.1,-0.074,0.648,0.644
2.13,2.158,0.1,-0.074,0.648,0.644
2.14,2.168,0.101,-0.074,0.648,0.643
2.15,2.178,0.101,-0.075,0.648,0.643
2.16,2.188,0.101,-0.075,0.648,0.643
2.17,2.198,0.101,-0.076,0.648,0.642
2.18,2.208,0.101,-0.076,0.648,0.642
2.19,2.218,0.102,-0.076,0.648,0.641
2.2,2.228,0.102,-0.077,0.648,0.641
2.21,2.238,0.102,-0.077,0.648,0.641
2.22,2.248,0.102,-0.077,0.648,0.64
2.23,2.258,0.102,-0.077,0.648,0.64
2.24,2.268,0.103,-0.078,0.648,0.64
2.25,2.278,0.103,-0.078,0.648,0.642
2.26,2.288,0.103,-0.078,0.649,0.643
2.27,2.298,0.103,-0.078,0.649,0.644
2.28,2.308,0.103,-0.078,0.649,0.646
2.29,2.318,0.103,-0.078,0.649,0.647
2.3,2.328,0.103,-0.079,0.649,0.648
2.31,2.338,0.104,-0.079,0.649,0.65
2.32,2.348,0.104,-0.079,0.649,0.651
2.33,2.358,0.104,-0.08,0.649,0.652
2.34,2.368,0.104,-0.08,0.649,0.653
2.35,2.378,0.104,-0.081,0.65,0.655
2.36,2.388,0.104,-0.083,0.65,0.656
2.37,2.398,0.104,-0.085,0.65,0.657
2.38,2.408,0.104,-0.088,0.65,0.658
2.39,2.418,0.104,-0.092,0.65,0.66
2.4,2.428,0.104,-0.097,0.65,0.661
2.41,2.438,0.104,-0.102,0.651,0.662
2.42,2.448,0.104,-0.107,0.651,0.663
2.43,2.458,0.104,-0.112,0.651,0.665
2.44,2.468,0.104,-0.117,0.651,0.666
2.45,2.478,0.104,-0.121,0.652,0.667
2.46,2.488,0.104,-0.124,0.652,0.668
2.47,2.498,0.104,-0.126,0.652,0.669
2.48,2.508,0.104,-0.126,0.652,0.67
2.49,2.518,0.104,-0.125,0.653,0.671
2.5,2.528,0.104,-0.124,0.653,0.672
2.51,2.538,0.104,-0.121,0.653,0.673
2.52,2.548,0.104,-0.118,0.654,0.674
2.53,2.558,0.104,-0.115,0.654,0.675
2.54,2.568,0.104,-0.111,0.655,0.676
2.55,2.578,0.103,-0.107,0.655,0.677
2.56,2.588,0.103,-0.104,0.655,0.678
2.57,2.598,0.103,-0.1,0.656,0.679
2.58,2.608,0.103,-0.096,0.656,0.68
2.59,2.618,0.103,-0.092,0.657,0.68
2.6,2.628,0.103,-0.088,0.657,0.679
2.61,2.638,0.102,-0.084,0.658,0.678
2.62,2.648,0.102,-0.08,0.658,0.678
2.63,2.658,0.102,-0.076,0.658,0.677
2.64,2.668,0.102,-0.072,0.659,0.677
2.65,2.678,0.101,-0.069,0.659,0.676
2.66,2.688,0.101,-0.065,0.66,0.676
2.67,2.698,0.101,-0.061,0.66,0.675
2.68,2.708,0.101,-0.057,0.661,0.674
2.69,2.718,0.101,-0.054,0.661,0.674
2.7,2.728,0.1,-0.05,0.662,0.673
2.71,2.738,0.1,-0.046,0.662,0.673
2.72,2.748,0.1,-0.042,0.663,0.672
2.73,2.758,0.099,-0.039,0.663,0.671
2.74,2.768,0.099,-0.035,0.664,0.671
2.75,2.778,0.099,-0.032,0.664,0.67
2.76,2.788,0.099,-0.028,0.665,0.669
2.77,2.798,0.098,-0.024,0.665,0.669
2.78,2.808,0.098,-0.021,0.666,0.668
2.79,2.818,0.098,-0.017,0.667,0.667
2.8,2.828,0.097,-0.014,0.667,0.667
2.81,2.838,0.097,-0.01,0.668,0.666
2.82,2.847,0.097,-0.007,0.668,0.665
2.83,2.857,0.097,-0.003,0.669,0.665
