s,x,y,kappa,n_l,n_r
0.0,0.128,0.021,0.076,0.554,0.617
0.05,0.178,0.021,0.108,0.562,0.614
0.1,0.228,0.022,0.13,0.571,0.61
0.15,0.278,0.024,0.111,0.579,0.606
0.2,0.328,0.025,0.094,0.584,0.601
0.25,0.378,0.027,0.081,0.586,0.597
0.3,0.428,0.029,0.07,0.587,0.593
0.35,0.478,0.031,0.06,0.587,0.591
0.4,0.528,0.034,0.052,0.586,0.588
0.45,0.578,0.036,0.046,0.585,0.586
0.5,0.628,0.039,0.04,0.583,0.583
0.55,0.678,0.041,0.035,0.581,0.581
0.6,0.728,0.044,0.03,0.578,0.579
0.65,0.778,0.047,0.026,0.576,0.578
0.7,0.828,0.05,0.023,0.573,0.576
0.75,0.878,0.053,0.02,0.57,0.573
0.8,0.928,0.056,0.017,0.568,0.57
0.85,0.977,0.059,0.014,0.565,0.568
0.9,1.027,0.062,0.012,0.562,0.567
0.95,1.077,0.065,0.01,0.558,0.567
1.0,1.127,0.068,0.008,0.555,0.567
1.05,1.177,0.072,0.007,0.553,0.568
1.1,1.227,0.075,0.005,0.552,0.568
1.15,1.277,0.078,0.004,0.552,0.568
1.2,1.327,0.081,0.003,0.554,0.568
1.25,1.377,0.085,0.002,0.558,0.568
1.3,1.427,0.088,0.001,0.562,0.567
1.35,1.476,0.091,0.001,0.567,0.566
1.4,1.526,0.094,0.0,0.571,0.564
1.45,1.576,0.098,0.0,0.576,0.563
1.5,1.626,0.101,0.0,0.581,0.561
1.55,1.676,0.104,0.0,0.585,0.56
1.6,1.726,0.107,0.001,0.588,0.56
1.65,1.776,0.11,0.001,0.589,0.561
1.7,1.826,0.114,0.002,0.589,0.562
1.75,1.876,0.117,0.003,0.588,0.564
1.8,1.925,0.12,0.005,0.587,0.565
1.85,1.975,0.124,0.006,0.586,0.566
1.9,2.025,0.127,0.007,0.584,0.567
1.95,2.075,0.13,0.009,0.58,0.568
2.0,2.125,0.133,0.01,0.574,0.568
2.05,2.175,0.137,0.012,0.568,0.569
2.1,2.225,0.14,0.013,0.561,0.57
2.15,2.275,0.144,0.015,0.554,0.571
2.2,2.325,0.147,0.016,0.547,0.571
2.25,2.374,0.151,0.017,0.54,0.571
2.3,2.424,0.154,0.018,0.534,0.569
2.35,2.474,0.158,0.019,0.529,0.567
2.4,2.524,0.161,0.019,0.526,0.564
2.45,2.574,0.165,0.02,0.524,0.561
2.5,2.624,0.169,0.02,0.523,0.558
2.55,2.674,0.172,0.019,0.523,0.557
2.6,2.724,0.176,0.019,0.524,0.557
2.65,2.773,0.18,0.018,0.527,0.557
