s,x,y,kappa
0.0,0.10740461712548655,0.2746461148222019,0.39733689192239935
0.01,0.11676442391422244,0.27112545493227774,0.39517555195465004
0.02,0.1261416771161773,0.26765172805215615,0.3962107908332224
0.03,0.13553391198868958,0.264218640033255,0.39967488133933066
0.04,0.14493880752894783,0.26082029830794806,0.4045974063602431
0.05,0.15435708780296423,0.25745931763379976,0.41006746039674885
0.06,0.16379184901493288,0.2541449275334187,0.4154465966054235
0.07,0.17324205648432375,0.2508747171664602,0.4204893651864727
0.08,0.18270559008348575,0.24764328705061137,0.4253462789134959
0.09,0.19218374604756092,0.24445511262419345,0.43044973868272174
0.1,0.20167658818990114,0.24131088141473717,0.4363230730470183
0.11,0.21118072575183838,0.23820090826605397,0.443371691974789
0.12,0.2206951766609544,0.23512270609842456,0.4517044809843311
0.13,0.23022154012760085,0.2320815478157648,0.46102490664160145
0.14,0.23976154982575992,0.22908344074180084,0.4706281634511533
0.15,0.2493167121675452,0.22613393003287718,0.47950654806909504
0.16,0.2588875835422618,0.2232359332723108,0.4865327445571362
0.17,0.2684732332152294,0.22038719805847895,0.49067764552594795
0.18,0.27807073743939986,0.21757828050820063,0.49122537483126316
0.19,0.28768323144121444,0.21482142685912206,0.48793033708491174
0.2,0.2973178104713679,0.2121430598858342,0.48107105288676927
0.21,0.306969003363425,0.20952457805325353,0.4713864071897043
0.22,0.3166283474982478,0.20693657290590153,0.45990732973856535
0.23,0.3262969166289521,0.20438349554008797,0.4477377807473579
0.24,0.3359764383216116,0.20187209008668522,0.43583270130284535
0.25,0.3456662258068605,0.19940049337534843,0.42483521190827667
0.26,0.35536618165746653,0.19696921968474052,0.41501142032396515
0.27,0.36507666561429364,0.194580464564589,0.4062845777390082
0.28,0.37479551438264663,0.19222576407040592,0.3983425379149158
0.29,0.3845209247288781,0.1898982277001403,0.39077960247159427
0.3,0.3942572658381321,0.18761722525470384,0.38322761692012036
0.31,0.4040067031166675,0.18539265244268874,0.3754399516901365
0.32,0.413764333614171,0.1832041365281101,0.3673164734381721
0.33,0.4235275045067511,0.18104070668116895,0.3588803118896822
0.34,0.43329688983188125,0.17890545594001608,0.3502288390399489
0.35,0.4430737586503679,0.1768047260304761,0.34148290017811744
0.36,0.4528592312613515,0.17474446628575896,0.33275283009676787
0.37,0.46265234230480146,0.1727207787100152,0.3241267388161259
0.38,0.4724516911774699,0.17072757445497644,0.31566820750043556
0.39,0.4822564858490365,0.16876130162525788,0.30741463774882527
0.4,0.49206667804871795,0.1668221502209879,0.29938687247377826
0.41,0.5018830074765165,0.16491437042898752,0.2916102815048228
0.42,0.5117050342650972,0.16303606903196025,0.28413423999166937
0.43,0.5215316913882142,0.16118211355329823,0.277048569878672
0.44,0.5313636239263537,0.15935644351574935,0.2704958797594478
0.45,0.5412015356089859,0.15756324536694397,0.2646653722868636
