s,x,y,kappa,n_l,n_r
0.0,0.128,0.021,0.076,0.555,0.633
0.05,0.178,0.021,0.108,0.556,0.626
0.1,0.228,0.022,0.13,0.556,0.62
0.15,0.278,0.024,0.111,0.557,0.614
0.2,0.328,0.025,0.094,0.557,0.609
0.25,0.378,0.027,0.081,0.558,0.604
0.3,0.428,0.029,0.07,0.559,0.599
0.35,0.478,0.031,0.06,0.559,0.595
0.4,0.528,0.034,0.052,0.56,0.591
0.45,0.578,0.036,0.046,0.56,0.588
0.5,0.628,0.039,0.04,0.561,0.584
0.55,0.678,0.041,0.035,0.561,0.582
0.6,0.728,0.044,0.03,0.561,0.579
0.65,0.778,0.047,0.026,0.561,0.577
0.7,0.828,0.05,0.023,0.562,0.574
0.75,0.878,0.053,0.02,0.562,0.572
0.8,0.928,0.056,0.017,0.562,0.571
0.85,0.977,0.059,0.014,0.562,0.569
0.9,1.027,0.062,0.012,0.562,0.568
0.95,1.077,0.065,0.01,0.561,0.566
1.0,1.127,0.068,0.008,0.561,0.565
1.05,1.177,0.072,0.007,0.561,0.564
1.1,1.227,0.075,0.005,0.561,0.563
1.15,1.277,0.078,0.004,0.561,0.562
1.2,1.327,0.081,0.003,0.561,0.561
1.25,1.377,0.085,0.002,0.561,0.561
1.3,1.427,0.088,0.001,0.561,0.56
1.35,1.476,0.091,0.001,0.561,0.559
1.4,1.526,0.094,0.0,0.561,0.559
1.45,1.576,0.098,0.0,0.561,0.558
1.5,1.626,0.101,0.0,0.561,0.558
1.55,1.676,0.104,0.0,0.561,0.558
1.6,1.726,0.107,0.001,0.56,0.557
1.65,1.776,0.11,0.001,0.56,0.557
1.7,1.826,0.114,0.002,0.559,0.556
1.75,1.876,0.117,0.003,0.558,0.556
1.8,1.925,0.12,0.005,0.557,0.556
1.85,1.975,0.124,0.006,0.556,0.556
1.9,2.025,0.127,0.007,0.555,0.555
1.95,2.075,0.13,0.009,0.554,0.555
2.0,2.125,0.133,0.01,0.552,0.555
2.05,2.175,0.137,0.012,0.551,0.555
2.1,2.225,0.14,0.013,0.55,0.554
2.15,2.275,0.144,0.015,0.548,0.554
2.2,2.325,0.147,0.016,0.547,0.554
2.25,2.374,0.151,0.017,0.546,0.554
2.3,2.424,0.154,0.018,0.545,0.554
2.35,2.474,0.158,0.019,0.544,0.553
2.4,2.524,0.161,0.019,0.543,0.553
2.45,2.574,0.165,0.02,0.543,0.553
2.5,2.624,0.169,0.02,0.543,0.553
2.55,2.674,0.172,0.019,0.543,0.553
2.6,2.724,0.176,0.019,0.543,0.553
2.65,2.773,0.18,0.018,0.544,0.553
2.7,2.823,0.184,0.016,0.545,0.554
2.75,2.873,0.188,0.015,0.546,0.554
2.8,2.923,0.192,0.014,0.547,0.554
2.85,2.973,0.196,0.012,0.549,0.555
2.9,3.023,0.2,0.01,0.551,0.555
2.95,3.072,0.204,0.008,0.553,0.556
3.0,3.122,0.208,0.006,0.555,0.557
3.05,3.172,0.212,0.005,0.557,0.558
3.1,3.222,0.217,0.003,0.559,0.559
3.15,3.272,0.221,0.001,0.562,0.56
3.2,3.322,0.225,0.0,0.564,0.561
3.25,3.371,0.229,-0.001,0.566,0.562
3.3,3.421,0.233,-0.002,0.569,0.563
3.35,3.471,0.237,-0.002,0.571,0.565
3.4,3.521,0.241,-0.002,0.573,0.566
3.45,3.571,0.246,-0.002,0.574,0.568
3.5,3.621,0.25,-0.001,0.576,0.57
3.55,3.67,0.254,0.0,0.577,0.571
3.6,3.72,0.258,0.002,0.578,0.573
3.65,3.77,0.262,0.004,0.579,0.575
3.7,3.82,0.266,0.007,0.58,0.577
3.75,3.87,0.27,0.01,0.58,0.579
3.8,3.919,0.274,0.014,0.581,0.581
3.85,3.969,0.279,0.019,0.581,0.583
3.9,4.019,0.283,0.023,0.581,0.585
3.95,4.069,0.287,0.029,0.58,0.587
4.0,4.119,0.292,0.035,0.58,0.59
4.05,4.169,0.296,0.041,0.579,0.592
4.1,4.218,0.301,0.048,0.578,0.595
4.15,4.268,0.305,0.055,0.578,0.597
4.2,4.318,0.31,0.063,0.577,0.6
4.25,4.368,0.315,0.071,0.576,0.602
4.3,4.417,0.32,0.08,0.575,0.605
4.35,4.467,0.326,0.089,0.574,0.607
4.4,4.517,0.331,0.098,0.573,0.61
4.45,4.566,0.337,0.107,0.573,0.613
4.5,4.616,0.343,0.117,0.572,0.616
4.55,4.666,0.35,0.127,0.572,0.619
4.6,4.715,0.356,0.137,0.572,0.622
4.65,4.765,0.363,0.147,0.572,0.625
4.7,4.814,0.371,0.158,0.573,0.629
4.75,4.864,0.378,0.168,0.574,0.632
4.8,4.913,0.387,0.179,0.575,0.636
4.85,4.962,0.395,0.19,0.577,0.639
4.9,5.011,0.404,0.201,0.579,0.643
4.95,5.06,0.414,0.212,0.581,0.647
5.0,5.109,0.424,0.225,0.584,0.652
5.05,5.158,0.435,0.238,0.587,0.657
5.1,5.207,0.446,0.252,0.59,0.662
5.15,5.255,0.458,0.269,0.594,0.667
5.2,5.304,0.47,0.289,0.598,0.673
5.25,5.352,0.484,0.315,0.603,0.679
5.3,5.4,0.498,0.348,0.607,0.685
5.35,5.448,0.512,0.392,0.612,0.692
5.4,5.495,0.528,0.452,0.617,0.699
5.45,5.542,0.545,0.53,0.622,0.707
5.5,5.589,0.563,0.628,0.628,0.714
5.55,5.635,0.582,0.738,0.633,0.722
5.6,5.68,0.603,0.841,0.638,0.73
5.65,5.725,0.627,0.917,0.643,0.739
5.7,5.768,0.652,0.947,0.648,0.747
5.75,5.81,0.679,0.929,0.653,0.756
5.8,5.851,0.708,0.878,0.657,0.764
5.85,5.89,0.739,0.811,0.661,0.772
5.9,5.928,0.771,0.743,0.665,0.78
5.95,5.965,0.805,0.683,0.669,0.788
6.0,6.001,0.84,0.634,0.672,0.795
6.05,6.035,0.876,0.596,0.675,0.802
6.1,6.069,0.913,0.568,0.678,0.808
6.15,6.101,0.951,0.549,0.68,0.814
6.2,6.133,0.99,0.538,0.682,0.819
6.25,6.163,1.03,0.532,0.684,0.823
6.3,6.192,1.07,0.532,0.685,0.827
6.35,6.22,1.112,0.535,0.686,0.829
6.4,6.247,1.154,0.542,0.687,0.831
6.45,6.273,1.196,0.552,0.688,0.832
6.5,6.298,1.24,0.563,0.688,0.832
6.55,6.321,1.284,0.575,0.688,0.831
6.6,6.344,1.329,0.587,0.687,0.829
6.65,6.364,1.374,0.597,0.687,0.827
6.7,6.384,1.42,0.605,0.686,0.824
6.75,6.402,1.467,0.609,0.685,0.82
6.8,6.419,1.514,0.607,0.684,0.815
6.85,6.434,1.562,0.6,0.683,0.81
6.9,6.448,1.61,0.586,0.681,0.805
6.95,6.46,1.658,0.566,0.68,0.8
7.0,6.471,1.707,0.539,0.678,0.794
7.05,6.481,1.756,0.508,0.676,0.788
7.1,6.489,1.805,0.474,0.674,0.782
7.15,6.496,1.855,0.438,0.672,0.776
7.2,6.503,1.904,0.402,0.669,0.771
7.25,6.508,1.954,0.368,0.667,0.765
7.3,6.512,2.004,0.337,0.664,0.76
7.35,6.515,2.054,0.31,0.661,0.756
7.4,6.518,2.104,0.287,0.658,0.751
7.45,6.52,2.154,0.268,0.655,0.747
7.5,6.521,2.204,0.253,0.652,0.744
7.55,6.522,2.254,0.243,0.649,0.742
7.6,6.522,2.304,0.237,0.646,0.739
7.65,6.521,2.354,0.235,0.643,0.738
7.7,6.52,2.404,0.237,0.639,0.737
7.75,6.518,2.454,0.241,0.636,0.737
7.8,6.516,2.504,0.249,0.633,0.737
7.85,6.513,2.554,0.26,0.63,0.738
7.9,6.509,2.603,0.273,0.627,0.739
7.95,6.505,2.653,0.29,0.625,0.741
8.0,6.5,2.703,0.309,0.622,0.744
8.05,6.494,2.753,0.33,0.62,0.747
8.1,6.488,2.802,0.354,0.617,0.751
8.15,6.48,2.852,0.38,0.615,0.755
8.2,6.472,2.901,0.408,0.613,0.76
8.25,6.462,2.95,0.437,0.611,0.765
8.3,6.452,2.999,0.468,0.61,0.77
8.35,6.44,3.048,0.499,0.608,0.776
8.4,6.428,3.096,0.53,0.607,0.782
8.45,6.413,3.144,0.56,0.606,0.788
8.5,6.398,3.191,0.589,0.605,0.795
8.55,6.381,3.239,0.616,0.603,0.801
8.6,6.363,3.285,0.639,0.603,0.808
8.65,6.343,3.331,0.66,0.602,0.814
8.7,6.322,3.376,0.676,0.601,0.82
8.75,6.299,3.421,0.688,0.6,0.826
