x,y,yaw,v
-0.552725414163458,1.48,-1.72746024253307,2
-0.560623330308148,1.43,-1.68758820821342,2
-0.566489621407668,1.38,-1.64815156647387,2
-0.570365116582529,1.33,-1.59788519195432,2
-0.57171989123758,1.28,-1.54171735428989,2
-0.570265532660491,1.23,-1.48680508208184,2
-0.566056067167315,1.18,-1.42695841482319,2
-0.558814159101618,1.13,-1.37189218681907,2
-0.548735689199914,1.08,-1.310987423347,2
-0.535519928230264,1.0302824712388,-1.25527053088401,2
-0.519448576377892,0.98104896211968,-1.19850624513664,2
-0.500418603109386,0.932316649321215,-1.14468882989936,2
-0.478750834307619,0.884581682386873,-1.09113561747083,2
-0.454518763589424,0.837997642053447,-1.03615888895382,2
-0.427802613544475,0.792881470092946,-0.976299404716916,2
-0.398665550046212,0.749784932741231,-0.915359146077158,2
-0.367142024486583,0.708782426410657,-0.849485696912658,2
-0.333242771039598,0.670233799969529,-0.785792584298957,2
-0.296975628497087,0.633938037098965,-0.722027493711804,2
-0.258375473921071,0.599944369601998,-0.669111226649549,2
-0.217688515675064,0.567768774517544,-0.618778008183508,2
-0.174847215047365,0.537262948907121,-0.581469426334343,2
-0.13011926286569,0.507864578910624,-0.556052955643024,2
-0.083967743094826,0.479183043717402,-0.533385483232773,2
-0.0364844564113884,0.451145407740539,-0.522134602830884,2
0.0118326296791409,0.423343771558899,-0.51210607355694,2
0.0607664908808774,0.395836726603337,-0.502886358198408,2
0.110282471238803,0.368600154576017,-0.496228499137648,2
0.16,0.341682316662787,-0.491293693187764,2
0.21,0.31492976427754,-0.48643543580105,2
0.260000000000001,0.28848885812024,-0.476937925416739,2
0.31,0.262652607086873,-0.459710803735706,2
0.360000000000001,0.237898175307452,-0.440431160947259,2
0.41,0.2143328075449,-0.412180255327649,2
0.46,0.192471518432388,-0.379319030771824,2
0.51,0.172540351860839,-0.345178852654115,2
0.56,0.154561626569876,-0.304075315368885,2
0.610000000000001,0.138871267145177,-0.264930777202418,2
0.66,0.125305855401529,-0.216483656330901,2
0.71,0.114309349072289,-0.174638553564285,2
0.76,0.105487554311523,-0.129466553720666,2
0.810000000000001,0.098977814725774,-0.0895982022815534,2
0.860000000000001,0.0944858779937949,-0.0477252415897981,2
0.91,0.0920978025334864,-0.00968009047526498,2
0.96,0.0916137828914121,0.0207863142271337,2
1.01,0.092653248314654,0.0504880890488895,2
1.06,0.0951797998983603,0.0700652535801761,2
1.11,0.0986888065254721,0.0835976509090086,2
1.16,0.102878453497643,0.0902653277357595,2
1.21,0.107404017741161,0.0932025168627115,2
1.26,0.112077684355407,0.085643474837279,2
1.31,0.116370358541978,0.0743714937760333,2
1.36,0.120095804393079,0.0610237865026461,2
1.41,0.123150786812228,0.047306972631226,2
1.46,0.125517901535164,0.0346470448398088,2
1.51,0.127250947292267,0.0239732916587744,2
1.56,0.128449841559663,0.0156720679715141,2
1.61,0.129233509119122,0.00968009047526507,2
1.66,0.129717528761197,0.00564936467485411,2
1.71,0.129999999999999,0,2
1.76,0.129999999999999,0,2
1.81,0.129999999999999,0,2
1.86,0.129999999999999,0,2
1.91,0.129999999999999,0,2
1.96,0.129999999999999,0,2
2.01,0.129999999999999,0,2
2.06,0.129999999999999,-1.33226762955022e-14,2
2.11,0.129999999999999,0,2
2.16,0.129999999999999,0,2
2.21,0.129999999999999,1.33226762955019e-14,2
2.26,0.129999999999999,0,2
2.31,0.129999999999999,0,2
2.36,0.129999999999999,0,2
2.41,0.129999999999999,1.77635683940026e-14,2
2.46,0.13,0,2
2.51,0.13,-1.77635683940026e-14,2
