x,y,yaw,v
-0.552725414163458,1.48,-1.72746024253307,1
-0.560623330308148,1.43,-1.68758820821342,1
-0.566489621407668,1.38,-1.64815156647387,1
-0.570365116582529,1.33,-1.59788519195432,1
-0.57171989123758,1.28,-1.54171735428989,1
-0.570265532660491,1.23,-1.48680508208184,1
-0.566056067167315,1.18,-1.42695841482319,1
-0.558814159101618,1.13,-1.37189218681907,1
-0.548735689199914,1.08,-1.310987423347,1
-0.535519928230264,1.0302824712388,-1.25527053088401,1
-0.519448576377892,0.98104896211968,-1.19850624513664,1
-0.500418603109386,0.932316649321215,-1.14468882989936,1
-0.478750834307619,0.884581682386873,-1.09113561747083,1
-0.454518763589424,0.837997642053447,-1.03615888895382,1
-0.427802613544475,0.792881470092946,-0.976299404716916,1
-0.398665550046212,0.749784932741231,-0.915359146077158,1
-0.367142024486583,0.708782426410657,-0.849485696912658,1
-0.333242771039598,0.670233799969529,-0.785792584298957,1
-0.296975628497087,0.633938037098965,-0.722027493711804,1
-0.258375473921071,0.599944369601998,-0.669111226649549,1
-0.217688515675064,0.567768774517544,-0.618778008183508,1
-0.174847215047365,0.537262948907121,-0.581469426334343,1
-0.13011926286569,0.507864578910624,-0.556052955643024,1
-0.083967743094826,0.479183043717402,-0.533385483232773,1
-0.0364844564113884,0.451145407740539,-0.522134602830884,1
0.0118326296791409,0.423343771558899,-0.51210607355694,1
0.0607664908808774,0.395836726603337,-0.502886358198408,1
0.110282471238803,0.368600154576017,-0.496228499137648,1
0.16,0.341682316662787,-0.491293693187764,1
0.21,0.31492976427754,-0.48643543580105,1
0.260000000000001,0.28848885812024,-0.476937925416739,1
0.31,0.262652607086873,-0.459710803735706,1
0.360000000000001,0.237898175307452,-0.440431160947259,1
0.41,0.2143328075449,-0.412180255327649,1
0.46,0.192471518432388,-0.379319030771824,1
0.51,0.172540351860839,-0.345178852654115,1
0.56,0.154561626569876,-0.304075315368885,1
0.610000000000001,0.138871267145177,-0.264930777202418,1
0.66,0.125305855401529,-0.216483656330901,1
0.71,0.114309349072289,-0.174638553564285,1
0.76,0.105487554311523,-0.129466553720666,1
0.810000000000001,0.098977814725774,-0.0895982022815534,1
0.860000000000001,0.0944858779937949,-0.0477252415897981,1
0.91,0.0920978025334864,-0.00968009047526498,1
0.96,0.0916137828914121,0.0207863142271337,1
1.01,0.092653248314654,0.0504880890488895,1
1.06,0.0951797998983603,0.0700652535801761,1
1.11,0.0986888065254721,0.0835976509090086,1
1.16,0.102878453497643,0.0902653277357595,1
1.21,0.107404017741161,0.0932025168627115,1
1.26,0.112077684355407,0.085643474837279,1
1.31,0.116370358541978,0.0743714937760333,1
1.36,0.120095804393079,0.0610237865026461,1
1.41,0.123150786812228,0.047306972631226,1
1.46,0.125517901535164,0.0346470448398088,1
1.51,0.127250947292267,0.0239732916587744,1
1.56,0.128449841559663,0.0156720679715141,1
1.61,0.129233509119122,0.00968009047526507,1
1.66,0.129717528761197,0.00564936467485411,1
1.71,0.129999999999999,0,1
1.76,0.129999999999999,0,1
1.81,0.129999999999999,0,1
1.86,0.129999999999999,0,1
1.91,0.129999999999999,0,1
1.96,0.129999999999999,0,1
2.01,0.129999999999999,0,1
2.06,0.129999999999999,-1.33226762955022e-14,1
2.11,0.129999999999999,0,1
2.16,0.129999999999999,0,1
2.21,0.129999999999999,1.33226762955019e-14,1
2.26,0.129999999999999,0,1
2.31,0.129999999999999,0,1
2.36,0.129999999999999,0,1
2.41,0.129999999999999,1.77635683940026e-14,1
2.46,0.13,0,1
2.51,0.13,-1.77635683940026e-14,1
2.56,0.129999999999999,0,1
2.61,0.129999999999999,0,1
2.66,0.129999999999999,0,1
2.71,0.129999999999999,0,1
2.76,0.129999999999999,0,1
2.81,0.129999999999999,0,1
2.86,0.129999999999999,0,1
2.91,0.129999999999999,0,1
2.96,0.129999999999999,0,1
3.01,0.129999999999999,0,1
3.06,0.129999999999999,0.00564936467487187,1
3.11,0.130282471238803,0.00968009047526515,1
3.16,0.130766490880877,0.0156720679715008,1
3.21,0.131550158440336,0.0239732916587878,1
3.26,0.132749052707733,0.03464704483981,1
3.31,0.134482098464835,0.0473069726312389,1
3.36,0.136849213187772,0.061023786502619,1
3.41,0.139904195606919,0.0743714937760598,1
3.46,0.143629641458022,0.0856434748372681,1
3.51,0.147922315644593,0.093202516862709,1
3.56,0.152595982258838,0.0958659477226465,1
3.61,0.157404017741161,0.0932025168627206,1
3.66,0.162077684355406,0.085643474837271,1
3.71,0.166370358541978,0.0743714937760492,1
3.76,0.170095804393079,0.061023786502619,1
3.81,0.173150786812227,0.0473069726312364,1
3.86,0.175517901535163,0.0346470448398234,1
3.91,0.177250947292267,0.0239732916587749,1
3.96,0.178449841559663,0.0156720679715096,1
4.01,0.179233509119122,0.00968009047526977,1
4.06,0.179717528761197,0.00564936467487197,1
4.11,0.18,0,1
4.16,0.18,0.00564936467485401,1
4.21,0.180282471238803,0.00968009047526498,1
4.26,0.180766490880877,0.0156720679715141,1
4.31,0.181550158440337,0.0296186459578802,1
4.36,0.183031523946537,0.0443122816401834,1
4.41,0.185248589345714,0.0629324327068535,1
4.46,0.188399371628109,0.084873151587338,1
4.51,0.192653248314653,0.114318639177522,1
4.56,0.198394211161661,0.141915702165514,1
4.61,0.205538019713244,0.174114673301965,1
4.66,0.2143328075449,0.201553522218647,1
4.71,0.224549202787793,0.225746474484343,1
4.76,0.236032256905173,0.250895870473762,1
4.81,0.248847077935126,0.274640010892506,1
4.86,0.262935078325678,0.293087129353688,1
4.91,0.278023975134642,0.314638467485856,1
4.96,0.294296453715529,0.332634637237298,1
5.01,0.311570017455653,0.354747282900901,1
5.06,0.330090903089394,0.378532370518623,1
5.11,0.349976500890638,0.399308820489962,1
5.16,0.371075437187595,0.423365173063913,1
5.21,0.39360618298541,0.445096459931993,1
5.26,0.417457261275932,0.466069880520408,1
5.31,0.442608837121286,0.487858188035868,1
5.36,0.46914084302722,0.501343386104578,1
5.41,0.496543247369438,0.518480359466883,1
5.46,0.525070535521972,0.532898083909484,1
5.51,0.554561367407112,0.541062978887681,1
5.56,0.584605140859484,0.542756283560405,1
5.61,0.614764265516732,0.549844924734222,1
5.6597175287612,0.645235734483267,0.55377442333461,1
5.70895103788032,0.675677330379317,0.562251648735262,1
5.75740087943998,0.706205123473764,0.571334101548103,1
5.80493429797105,0.736762094157167,0.582544426231613,1
5.85121869038709,0.767254767457973,0.604544963290835,1
5.89563716440085,0.797940375997632,0.637355245589609,1
5.93799800185959,0.829306078095435,0.680470587543172,1
5.97778432006815,0.861510715182699,0.734629097874179,1
6.01502830370185,0.895152784952635,0.791890999939536,1
6.04981980373337,0.930399035037743,0.854406796615739,1
6.0821969472211,0.96758421400779,0.916179454086616,1
6.11248705945316,1.00704938065355,0.963476184796483,1
6.14135243539445,1.04858603847383,1.00396538105993,1
6.16904795907115,1.09209780253349,1.03720673675976,1
6.1958773132436,1.13751362241137,1.05731957561999,1
6.22226121289996,1.18429921114807,1.07758417873274,1
6.24807160656453,1.23231664932121,1.09482786906577,1
6.27319298297258,1.28104896211968,1.11366804158703,1
6.29740982396522,1.3302824712388,1.13670320422468,1
6.32045809523994,1.38,1.16279162099278,1
6.34207114739391,1.43,1.18862820098028,1
6.36216759301477,1.48,1.21968108667941,1
6.38048223557708,1.53,1.25468748685685,1
6.39683605866825,1.58,1.29532937974176,1
6.41096869874737,1.63,1.33620767339662,1
6.42291813974737,1.68,1.37352226799199,1
6.43291182184642,1.73,1.41355565616959,1
6.44083929795746,1.78,1.44693401507115,1
6.44706428044654,1.83,1.48031708207227,1
6.45160062837189,1.88,1.50786389408805,1
6.45475141065429,1.93,1.52648404515467,1
6.45696847605346,1.98,1.54117768083706,1
6.45844984155966,2.03,1.55512425882337,1
6.45923350911912,2.08,1.56111623631962,1
6.4597175287612,2.13,1.5707963267949,1
6.4597175287612,2.18,1.58612494372909,1
6.45895103788032,2.23,1.60178956794762,1
6.45740087943998,2.28,1.62572208017487,1
6.45465182673225,2.33,1.66019933569105,1
6.45016972826742,2.38,1.70693328756511,1
6.44332051507964,2.43,1.76634881742504,1
6.43341631947272,2.48,1.83165706582624,1
6.4200691492535,2.53,1.90132573526055,1
6.40291332448978,2.58,1.96920311499356,1
6.38186750067128,2.63,2.03570903625737,1
6.35693006439905,2.6797175287612,2.09343633813435,1
6.32856798762761,2.72895103788032,2.13839894090024,1
6.29749668383306,2.77768335067879,2.17207428934518,1
6.26455602233917,2.82570078885193,2.19641602418941,1
6.23055277852013,2.87276884882743,2.21754122727318,1
6.19610797944179,2.91838621710859,2.23555803742924,1
6.16154881880144,2.96248010032443,2.25589284784586,1
6.12687335352491,3.00491600449472,2.28113460275406,1
6.0917952131166,3.04569899018965,2.31160295098891,1
6.05585206063855,3.08499960363173,2.34873890184315,1
6.01854384729046,3.12286831557342,2.38184686969485,1
5.97961694974729,3.15984761141563,2.41206905574645,1
5.93876449274047,3.19637215720426,2.43995492388738,1
5.89591963563966,3.23257999747381,2.45915050003879,1
5.85121869038709,3.26890883719014,2.47602021762733,1
5.80493429797105,3.30524545104454,2.48690086556999,1
5.75740087943998,3.34173372762163,2.49923681377066,1
5.70895103788032,3.37798448300409,2.5146503573257,1
5.6597175287612,3.41365130126835,2.53271565663537,1
5.61,3.44831677841684,2.55129671671412,1
5.56,3.48181599528774,2.57277506566174,1
5.51,3.5137810762491,2.60052967470211,1
5.46,3.54382484970147,2.6359150950989,1
5.41,3.57150972528249,2.67447797510204,1
5.36,3.59672679429186,2.71550845657597,1
5.31,3.61942129773957,2.75546380354971,1
5.26,3.63974813967743,2.79502206768423,1
5.21,3.65780548815306,2.83510815182955,1
5.16,3.6736282694928,2.87201958651594,1
5.11,3.6874431973062,2.90486334435086,1
5.06,3.69950584243371,2.93002272522389,1
5.01,3.71024505467627,2.95462276770149,1
4.96,3.71970402814114,2.97391514597446,1
4.91,3.72816737032086,2.98593087738386,1
4.86,3.73601393738937,2.99967695142429,1
4.81,3.74315774594095,3.00859867473616,1
4.76,3.74984692955111,3.02202710225478,1
4.71,3.75585385930082,3.03287631965235,1
