x,y,yaw,v_ref
1.23182,-3.27282,-2.76673,1
1.21813,-3.27821,-2.77174,1
1.20438,-3.28354,-2.77673,1
1.1906,-3.2888,-2.7817,1
1.17676,-3.29401,-2.78666,1
1.16288,-3.29915,-2.7916,1
1.14895,-3.30424,-2.79653,1
1.13498,-3.30926,-2.80145,1
1.12096,-3.31422,-2.80635,1
1.1069,-3.31912,-2.81123,1
1.09279,-3.32396,-2.81611,1
1.07864,-3.32873,-2.82097,1
1.06445,-3.33345,-2.82581,1
1.05021,-3.3381,-2.83065,1
1.03594,-3.34269,-2.83547,1
1.02162,-3.34721,-2.84027,1
1.00727,-3.35167,-2.84507,1
0.99287,-3.35607,-2.84985,1
0.978434,-3.36041,-2.85462,1
0.96396,-3.36468,-2.85938,1
0.949448,-3.36889,-2.86413,1
0.934898,-3.37303,-2.86887,1
0.920311,-3.37711,-2.87359,1
0.905688,-3.38112,-2.8783,1
0.89103,-3.38508,-2.88301,1
0.876336,-3.38896,-2.8877,1
0.861607,-3.39278,-2.89238,1
0.846845,-3.39654,-2.89705,1
0.832049,-3.40023,-2.90171,1
0.81722,-3.40386,-2.90637,1
0.802359,-3.40742,-2.91101,1
0.787466,-3.41092,-2.91564,1
0.772542,-3.41435,-2.92026,1
0.757588,-3.41771,-2.92488,1
0.742604,-3.42101,-2.92948,1
0.72759,-3.42425,-2.93408,1
0.712548,-3.42741,-2.93867,1
0.697478,-3.43051,-2.94325,1
0.68238,-3.43355,-2.94782,1
0.667255,-3.43652,-2.95238,1
0.652104,-3.43942,-2.95694,1
0.636927,-3.44225,-2.96149,1
0.621725,-3.44502,-2.96603,1
0.606498,-3.44772,-2.97057,1
0.591247,-3.45036,-2.97509,1
0.575974,-3.45292,-2.97961,1
0.560677,-3.45542,-2.98413,1
0.545358,-3.45785,-2.98864,1
0.530018,-3.46022,-2.99314,1
0.514657,-3.46252,-2.99763,1
0.499275,-3.46475,-3.00212,1
0.483874,-3.46691,-3.00661,1
0.468453,-3.469,-3.01108,1
0.453014,-3.47103,-3.01556,1
0.437558,-3.47299,-3.02003,1
0.422084,-3.47488,-3.02449,1
0.406593,-3.4767,-3.02895,1
0.391086,-3.47845,-3.0334,1
0.375564,-3.48014,-3.03785,1
0.360027,-3.48176,-3.0423,1
0.344476,-3.48331,-3.04674,1
0.328911,-3.48479,-3.05117,1
0.313333,-3.4862,-3.05561,1
0.297743,-3.48754,-3.06004,1
0.282141,-3.48882,-3.06447,1
0.266528,-3.49003,-3.06889,1
0.250904,-3.49116,-3.07331,1
0.235271,-3.49223,-3.07773,1
0.219628,-3.49323,-3.08214,1
0.203977,-3.49417,-3.08656,1
0.188317,-3.49503,-3.09097,1
0.17265,-3.49582,-3.09538,1
0.156976,-3.49655,-3.09978,1
0.141296,-3.4972,-3.10419,1
0.125611,-3.49779,-3.10859,1
0.10992,-3.49831,-3.113,1
0.0942255,-3.49876,-3.1174,1
0.0785269,-3.49914,-3.1218,1
0.0628252,-3.49945,-3.1262,1
0.0471211,-3.49969,-3.1306,1
0.0314151,-3.49986,-3.135,1
0.0157079,-3.49997,-3.13939,1
1.53081e-16,-3.5,3.13939,1
-0.0157079,-3.49997,3.135,1
-0.0314151,-3.49986,3.1306,1
-0.0471211,-3.49969,3.1262,1
-0.0628252,-3.49945,3.1218,1
-0.0785269,-3.49914,3.1174,1
-0.0942255,-3.49876,3.113,1
-0.10992,-3.49831,3.10859,1
-0.125611,-3.49779,3.10419,1
-0.141296,-3.4972,3.09978,1
-0.156976,-3.49655,3.09538,1
-0.17265,-3.49582,3.09097,1
-0.188317,-3.49503,3.08656,1
-0.203977,-3.49417,3.08214,1
-0.219628,-3.49323,3.07773,1
-0.235271,-3.49223,3.07331,1
-0.250904,-3.49116,3.06889,1
-0.266528,-3.49003,3.06447,1
-0.282141,-3.48882,3.06004,1
-0.297743,-3.48754,3.05561,1
-0.313333,-3.4862,3.05117,1
-0.328911,-3.48479,3.04674,1
-0.344476,-3.48331,3.0423,1
-0.360027,-3.48176,3.03785,1
-0.375564,-3.48014,3.0334,1
-0.391086,-3.47845,3.02895,1
-0.406593,-3.4767,3.02449,1
-0.422084,-3.47488,3.02003,1
-0.437558,-3.47299,3.01556,1
-0.453014,-3.47103,3.01108,1
-0.468453,-3.469,3.00661,1
-0.483874,-3.46691,3.00212,1
-0.499275,-3.46475,2.99763,1
-0.514657,-3.46252,2.99314,1
-0.530018,-3.46022,2.98864,1
-0.545358,-3.45785,2.98413,1
-0.560677,-3.45542,2.97961,1
-0.575974,-3.45292,2.97509,1
-0.591247,-3.45036,2.97057,1
-0.606498,-3.44772,2.96603,1
-0.621725,-3.44502,2.96149,1
-0.636927,-3.44225,2.95694,1
-0.652104,-3.43942,2.95238,1
-0.667255,-3.43652,2.94782,1
-0.68238,-3.43355,2.94325,1
-0.697478,-3.43051,2.93867,1
-0.712548,-3.42741,2.93408,1
-0.72759,-3.42425,2.92948,1
-0.742604,-3.42101,2.92488,1
-0.757588,-3.41771,2.92026,1
-0.772542,-3.41435,2.91564,1
-0.787466,-3.41092,2.91101,1
-0.802359,-3.40742,2.90637,1
-0.81722,-3.40386,2.90171,1
-0.832049,-3.40023,2.89705,1
-0.846845,-3.39654,2.89238,1
-0.861607,-3.39278,2.8877,1
-0.876336,-3.38896,2.88301,1
-0.89103,-3.38508,2.8783,1
-0.905688,-3.38112,2.87359,1
-0.920311,-3.37711,2.86887,1
-0.934898,-3.37303,2.86413,1
-0.949448,-3.36889,2.85938,1
-0.96396,-3.36468,2.85462,1
-0.978434,-3.36041,2.84985,1
-0.99287,-3.35607,2.84507,1
-1.00727,-3.35167,2.84027,1
-1.02162,-3.34721,2.83547,1
-1.03594,-3.34269,2.83065,1
-1.05021,-3.3381,2.82581,1
-1.06445,-3.33345,2.82097,1
-1.07864,-3.32873,2.81611,1
-1.09279,-3.32396,2.81123,1
-1.1069,-3.31912,2.80635,1
-1.12096,-3.31422,2.80145,1
-1.13498,-3.30926,2.79653,1
-1.14895,-3.30424,2.7916,1
-1.16288,-3.29915,2.78666,1
-1.17676,-3.29401,2.7817,1
-1.1906,-3.2888,2.77673,1
-1.20438,-3.28354,2.77174,1
-1.21813,-3.27821,2.76673,1
-1.23182,-3.27282,2.76171,1
-1.24546,-3.26737,2.75668,1
-1.25906,-3.26187,2.75163,1
-1.2726,-3.2563,2.74656,1
-1.2861,-3.25067,2.74147,1
-1.29954,-3.24499,2.73637,1
-1.31294,-3.23924,2.73125,1
-1.32628,-3.23344,2.72612,1
-1.33957,-3.22757,2.72097,1
-1.3528,-3.22165,2.7158,1
-1.36599,-3.21567,2.71061,1
-1.37911,-3.20964,2.7054,1
-1.39219,-3.20354,2.70018,1
-1.40521,-3.19739,2.69493,1
-1.41817,-3.19118,2.68967,1
-1.43108,-3.18492,2.68439,1
-1.44393,-3.17859,2.67909,1
-1.45673,-3.17221,2.67377,1
-1.46946,-3.16578,2.66843,1
-1.48214,-3.15929,2.66307,1
-1.49476,-3.15274,2.6577,1
-1.50732,-3.14614,2.6523,1
-1.51983,-3.13948,2.64688,1
-1.53227,-3.13277,2.64144,1
-1.54465,-3.126,2.63597,1
-1.55697,-3.11918,2.63049,1
-1.56923,-3.11231,2.62499,1
-1.58143,-3.10538,2.61946,1
-1.59356,-3.0984,2.61391,1
-1.60563,-3.09136,2.60834,1
-1.61764,-3.08427,2.60275,1
-1.62958,-3.07713,2.59714,1
-1.64146,-3.06994,2.5915,1
-1.65328,-3.06269,2.58584,1
-1.66503,-3.0554,2.58015,1
-1.67671,-3.04805,2.57445,1
-1.68833,-3.04065,2.56871,1
-1.69988,-3.0332,2.56296,1
-1.71137,-3.0257,2.55718,1
-1.72278,-3.01814,2.55138,1
-1.73413,-3.01054,2.54555,1
-1.74541,-3.00289,2.53969,1
-1.75662,-2.99519,2.53382,1
-1.76777,-2.98744,2.52791,1
-1.77884,-2.97964,2.52198,1
-1.78984,-2.97179,2.51603,1
-1.80077,-2.96389,2.51005,1
-1.81163,-2.95595,2.50404,1
-1.82242,-2.94796,2.49801,1
-1.83314,-2.93992,2.49195,1
-1.84378,-2.93183,2.48586,1
-1.85435,-2.9237,2.47975,1
-1.86485,-2.91552,2.47361,1
-1.87528,-2.9073,2.46744,1
-1.88563,-2.89903,2.46124,1
-1.8959,-2.89071,2.45502,1
-1.90611,-2.88235,2.44877,1
-1.91623,-2.87394,2.44249,1
-1.92628,-2.86549,2.43618,1
-1.93626,-2.857,2.42984,1
-1.94616,-2.84846,2.42348,1
-1.95598,-2.83988,2.41708,1
-1.96572,-2.83125,2.41066,1
-1.97539,-2.82259,2.4042,1
-1.98498,-2.81388,2.39772,1
-1.99449,-2.80513,2.39121,1
-2.00392,-2.79633,2.38467,1
-2.01327,-2.7875,2.3781,1
-2.02254,-2.77862,2.37149,1
-2.03174,-2.76971,2.36486,1
-2.04085,-2.76075,2.3582,1
-2.04988,-2.75176,2.35151,1
-2.05883,-2.74272,2.34478,1
-2.0677,-2.73365,2.33803,1
-2.07649,-2.72453,2.33124,1
-2.0852,-2.71538,2.32442,1
-2.09382,-2.70619,2.31758,1
-2.10236,-2.69696,2.3107,1
-2.11082,-2.6877,2.30379,1
-2.11919,-2.67839,2.29684,1
-2.12749,-2.66906,2.28987,1
-2.13569,-2.65968,2.28286,1
