x,y,yaw,v_ref
4.77526,0.65997,-0.844114,1
4.78173,0.652699,-0.858046,1
4.7881,0.645324,-0.871867,1
4.79439,0.637848,-0.885576,1
4.80058,0.63027,-0.89917,1
4.80668,0.622594,-0.912649,1
4.81269,0.614819,-0.926011,1
4.81861,0.606947,-0.939258,1
4.82444,0.598979,-0.952386,1
4.83018,0.590916,-0.965398,1
4.83582,0.58276,-0.978292,1
4.84137,0.574513,-0.991068,1
4.84683,0.566174,-1.00373,1
4.8522,0.557746,-1.01627,1
4.85748,0.54923,-1.0287,1
4.86266,0.540627,-1.04101,1
4.86775,0.531939,-1.0532,1
4.87274,0.523167,-1.06529,1
4.87764,0.514312,-1.07726,1
4.88245,0.505376,-1.08911,1
4.88716,0.49636,-1.10086,1
4.89178,0.487266,-1.1125,1
4.8963,0.478095,-1.12404,1
4.90073,0.468848,-1.13546,1
4.90507,0.459528,-1.14679,1
4.90931,0.450135,-1.15801,1
4.91345,0.44067,-1.16913,1
4.9175,0.431136,-1.18015,1
4.92146,0.421534,-1.19108,1
4.92532,0.411866,-1.20191,1
4.92908,0.402132,-1.21265,1
4.93275,0.392335,-1.2233,1
4.93632,0.382476,-1.23386,1
4.93979,0.372557,-1.24433,1
4.94317,0.362579,-1.25473,1
4.94645,0.352543,-1.26504,1
4.94964,0.342452,-1.27527,1
4.95273,0.332307,-1.28542,1
4.95572,0.322109,-1.2955,1
4.95861,0.31186,-1.30551,1
4.96141,0.301563,-1.31545,1
4.96411,0.291217,-1.32532,1
4.96671,0.280826,-1.33512,1
4.96922,0.27039,-1.34487,1
4.97163,0.259911,-1.35455,1
4.97394,0.249392,-1.36418,1
4.97615,0.238833,-1.37375,1
4.97827,0.228236,-1.38326,1
4.98029,0.217604,-1.39273,1
4.98221,0.206937,-1.40215,1
4.98403,0.196237,-1.41152,1
4.98575,0.185506,-1.42086,1
4.98738,0.174746,-1.43015,1
4.9889,0.163959,-1.4394,1
4.99033,0.153145,-1.44861,1
4.99166,0.142308,-1.4578,1
4.9929,0.131447,-1.46695,1
4.99403,0.120567,-1.47607,1
4.99507,0.109667,-1.48517,1
4.996,0.0987493,-1.49425,1
4.99684,0.0878165,-1.5033,1
4.99758,0.0768698,-1.51234,1
4.99822,0.065911,-1.52136,1
4.99877,0.0549417,-1.53037,1
4.99921,0.0439638,-1.53936,1
4.99956,0.0329789,-1.54835,1
4.9998,0.0219888,-1.55733,1
4.99995,0.0109953,-1.56631,1
5,1.07157e-16,-1.57528,1
4.99995,-0.0109953,-1.58426,1
4.9998,-0.0219888,-1.59324,1
4.99956,-0.0329789,-1.60223,1
4.99921,-0.0439638,-1.61123,1
4.99877,-0.0549417,-1.62023,1
4.99822,-0.065911,-1.62925,1
4.99758,-0.0768698,-1.63829,1
4.99684,-0.0878165,-1.64734,1
4.996,-0.0987493,-1.65642,1
4.99507,-0.109667,-1.66552,1
4.99403,-0.120567,-1.67464,1
4.9929,-0.131447,-1.6838,1
4.99166,-0.142308,-1.69298,1
4.99033,-0.153145,-1.7022,1
4.9889,-0.163959,-1.71145,1
4.98738,-0.174746,-1.72074,1
4.98575,-0.185506,-1.73007,1
4.98403,-0.196237,-1.73944,1
4.98221,-0.206937,-1.74886,1
4.98029,-0.217604,-1.75833,1
4.97827,-0.228236,-1.76785,1
4.97615,-0.238833,-1.77742,1
4.97394,-0.249392,-1.78704,1
4.97163,-0.259911,-1.79672,1
4.96922,-0.27039,-1.80647,1
4.96671,-0.280826,-1.81627,1
4.96411,-0.291217,-1.82614,1
4.96141,-0.301563,-1.83608,1
4.95861,-0.31186,-1.84609,1
4.95572,-0.322109,-1.85617,1
4.95273,-0.332307,-1.86633,1
4.94964,-0.342452,-1.87656,1
4.94645,-0.352543,-1.88687,1
4.94317,-0.362579,-1.89726,1
4.93979,-0.372557,-1.90773,1
4.93632,-0.382476,-1.9183,1
4.93275,-0.392335,-1.92894,1
4.92908,-0.402132,-1.93968,1
4.92532,-0.411866,-1.95052,1
4.92146,-0.421534,-1.96144,1
4.9175,-0.431136,-1.97246,1
4.91345,-0.44067,-1.98359,1
4.90931,-0.450135,-1.99481,1
4.90507,-0.459528,-2.00613,1
4.90073,-0.468848,-2.01756,1
4.8963,-0.478095,-2.02909,1
4.89178,-0.487266,-2.04073,1
4.88716,-0.49636,-2.05248,1
4.88245,-0.505376,-2.06434,1
4.87764,-0.514312,-2.07631,1
4.87274,-0.523167,-2.08839,1
4.86775,-0.531939,-2.10059,1
4.86266,-0.540627,-2.1129,1
4.85748,-0.54923,-2.12532,1
4.8522,-0.557746,-2.13787,1
4.84683,-0.566174,-2.15052,1
4.84137,-0.574513,-2.1633,1
4.83582,-0.58276,-2.17619,1
4.83018,-0.590916,-2.18921,1
4.82444,-0.598979,-2.20234,1
4.81861,-0.606947,-2.21558,1
4.81269,-0.614819,-2.22894,1
4.80668,-0.622594,-2.24242,1
4.80058,-0.63027,-2.25602,1
4.79439,-0.637848,-2.26973,1
4.7881,-0.645324,-2.28355,1
4.78173,-0.652699,-2.29748,1
4.77526,-0.65997,-2.31152,1
4.76871,-0.667137,-2.32567,1
4.76207,-0.674199,-2.33993,1
4.75533,-0.681155,-2.35429,1
4.74851,-0.688002,-2.36874,1
4.7416,-0.694742,-2.3833,1
4.7346,-0.701371,-2.39795,1
4.72752,-0.70789,-2.41269,1
4.72034,-0.714297,-2.42752,1
4.71308,-0.720591,-2.44244,1
4.70573,-0.726771,-2.45743,1
4.69829,-0.732837,-2.4725,1
4.69077,-0.738787,-2.48764,1
4.68316,-0.74462,-2.50284,1
4.67546,-0.750336,-2.51811,1
4.66768,-0.755933,-2.53343,1
4.65981,-0.761411,-2.5488,1
4.65186,-0.766768,-2.56421,1
4.64382,-0.772005,-2.57967,1
4.63569,-0.777119,-2.59515,1
4.62749,-0.782111,-2.61067,1
4.61919,-0.78698,-2.6262,1
4.61082,-0.791724,-2.64175,1
4.60236,-0.796343,-2.65731,1
4.59382,-0.800836,-2.67287,1
4.5852,-0.805203,-2.68843,1
4.57649,-0.809443,-2.70397,1
4.5677,-0.813554,-2.7195,1
4.55883,-0.817538,-2.735,1
4.54988,-0.821392,-2.75047,1
4.54085,-0.825117,-2.7659,1
4.53174,-0.828711,-2.78129,1
4.52254,-0.832174,-2.79663,1
4.51327,-0.835506,-2.81191,1
4.50392,-0.838707,-2.82713,1
4.49449,-0.841774,-2.84227,1
4.48498,-0.844709,-2.85735,1
4.47539,-0.84751,-2.87234,1
4.46572,-0.850178,-2.88724,1
4.45598,-0.852711,-2.90206,1
4.44616,-0.85511,-2.91677,1
4.43626,-0.857373,-2.93138,1
4.42628,-0.859501,-2.94589,1
4.41623,-0.861494,-2.96028,1
4.40611,-0.86335,-2.97455,1
4.3959,-0.86507,-2.98871,1
4.38563,-0.866654,-3.00273,1
4.37528,-0.8681,-3.01663,1
4.36485,-0.86941,-3.03039,1
4.35435,-0.870582,-3.04402,1
4.34378,-0.871617,-3.05751,1
4.33314,-0.872514,-3.07085,1
4.32242,-0.873273,-3.08405,1
4.31163,-0.873895,-3.09711,1
4.30077,-0.874378,-3.11001,1
4.28984,-0.874724,-3.12276,1
4.27884,-0.874931,-3.13535,1
4.26777,-0.875,3.13539,1
4.25662,-0.874931,3.12311,1
4.24541,-0.874724,3.11098,1
4.23413,-0.874378,3.09902,1
4.22278,-0.873895,3.08721,1
4.21137,-0.873273,3.07557,1
4.19988,-0.872514,3.06408,1
4.18833,-0.871617,3.05276,1
4.17671,-0.870582,3.0416,1
4.16503,-0.86941,3.0306,1
4.15328,-0.8681,3.01976,1
4.14146,-0.866654,3.00909,1
4.12958,-0.86507,2.99857,1
4.11764,-0.86335,2.98821,1
4.10563,-0.861494,2.97802,1
4.09356,-0.859501,2.96798,1
4.08143,-0.857373,2.9581,1
4.06923,-0.85511,2.94837,1
4.05697,-0.852711,2.93881,1
4.04465,-0.850178,2.92939,1
4.03227,-0.84751,2.92013,1
