s,x,y,kappa,vx
0,1.74274895267365,0.744099022194147,0.047987461508361,2.32554455858897
0.242502015164945,1.98410009228485,0.76688691866406,-0.0364897167230547,2.51469828436852
0.501967166998764,2.24257737598204,0.794124581411592,-0.104697661823891,2.66437978455622
0.773709745747862,2.51381404777051,0.820228179219157,-0.134855207096735,2.77588613742778
1.05600594143698,2.79608342228255,0.839583759813754,-0.128090430461389,2.8742632210944
1.34755410799302,3.08783817022463,0.848769169489585,-0.095116219655036,2.96251582696335
1.64749214710988,3.38788696997334,0.847296324526997,-0.05180783079204,3.04261653397198
1.95519529095202,3.69538726627154,0.837223348031688,-0.0150315034870627,3.11534057160342
2.26978068664976,4.00944165366694,0.822029024372848,0.00489342530422196,3.1800520731938
2.59048450210067,4.32944589298624,0.805059071782465,0.00872059046936436,3.2342911155514
2.91622143898848,4.65452248995112,0.78832334536178,-0.0029044722233924,3.27807326053247
3.24591037150943,4.98372623344661,0.772300356275034,-0.0219564321543911,3.31367127380578
3.57897602695799,5.31645113777898,0.755790093745777,-0.0398332892594395,3.34673445457672
3.91531542209977,5.65242215991705,0.736679065547063,-0.0598270316467212,3.38048369975389
4.25484280339136,5.99130333041683,0.712884415904089,-0.0657258940640212,3.41017618087492
4.5968726527563,6.33206334948166,0.682036406851344,-0.0666186129383728,3.42988998089977
4.94013271308198,6.67321684731688,0.643426848944339,-0.0718977065888014,3.43400139702101
5.28283983719469,7.01281813245225,0.597090067659295,-0.0761871390764444,3.41939844997648
5.62315117079306,7.34878176217596,0.542725100588096,-0.0848885190746455,3.38557546927472
5.95913122392814,7.6789350187747,0.480361031440515,-0.0992791911020695,3.3326420271899
6.28895042893677,8.00112674636655,0.409748277480458,-0.110151515529807,3.26229623676212
6.6109578943939,8.31321042011512,0.330293537758054,-0.12216416336908,3.17707562930853
6.92386349633643,8.61346127483828,0.242063212234593,-0.132640797597213,3.08136188764416
7.22690041050328,8.90064211477983,0.145203548686419,-0.14229968007355,2.98107361253849
7.5200537427164,9.1743202861281,0.0400400382354756,-0.153926367726234,2.88567671901542
7.80445923441923,9.43518777682237,-0.0733047739661272,-0.168158499628358,2.80945627055731
8.08254610005013,9.68504667929424,-0.195443541275875,-0.17771131152312,2.76094316198539
8.35687891349543,9.92552662906647,-0.327475038704884,-0.192140308556925,2.73614560165358
8.62956556611296,10.1578349810885,-0.470278415550805,-0.214523279175014,2.72693804325191
8.90309681314118,10.3830613452012,-0.625499526954596,-0.238132626656419,2.75678925268828
9.18326375017108,10.6042457702713,-0.797428358585469,-0.252831341137954,2.86131626186399
9.47737437879196,10.8244900642086,-0.992297605266788,-0.277382571377995,3.02882695825828
9.78993985518897,11.043456467468,-1.21523140144276,-0.289533126717138,3.22596056688321
10.12167628612,11.2557437285106,-1.4700179118894,-0.314824943977839,3.40822581669778
10.4690610435329,11.4526037737497,-1.75603459528211,-0.331698062440071,3.53603452295682
10.8259369740059,11.6223507883893,-2.06960318260254,-0.366856894286757,3.59716948988283
11.1856717607008,11.7550693765122,-2.40335533859549,-0.379993167447402,3.5897569319284
11.5420285084616,11.8412233768274,-2.74808752140581,-0.424862360499558,3.5220491706886
11.8900398893228,11.8778488727984,-3.09252414002515,-0.440237207113214,3.41170776214698
12.2264930012932,11.8620856341012,-3.42636005342985,-0.438004112228256,3.28077600362477
12.5500722281583,11.7980050660431,-3.74093008517092,-0.440923609212439,3.15024398218199
12.8606685581551,11.6927226246385,-4.03161208238685,-0.462816017077942,3.03687415106338
13.159334842289,11.5523584912164,-4.29539925283842,-0.428112891609171,2.95021534154333
13.4500821929596,11.380299003773,-4.53078352851004,-0.380699827536672,2.89290281809497
13.7365711175303,11.1827081762406,-4.7394239290872,-0.331338015649836,2.86541543373991
14.0219977987808,10.9643914706658,-4.92423276737452,-0.284225254061882,2.86636620380106
14.3090110591037,10.7286026943872,-5.08831425334537,-0.24484728007349,2.88800570338634
14.5990974209419,10.4779186488567,-5.2341871048026,-0.216935317304759,2.9187713287033
14.8925434076974,10.2147561247346,-5.3634909468801,-0.199651502807214,2.94895614530747
15.1888252682852,9.94134403942165,-5.47705032599459,-0.187671361236034,2.97305221650421
15.4871901768059,9.6597152580889,-5.5750736262793,-0.176046178711702,2.99139774496698
15.7871378825014,9.37142360436719,-5.65774566849428,-0.161427981552826,3.0063570308898
16.0883691263084,9.07789572868524,-5.72544627722412,-0.142086419790794,3.01832451057091
16.3905764313537,8.78043961891091,-5.77902004231222,-0.120452674990926,3.02612399431226
16.6932456817068,8.48051265759579,-5.81985034989595,-0.0993631166551194,3.02689755937167
16.995514736208,8.17973215178292,-5.84965878749201,-0.0796902107936087,3.01752035502687
17.2962520606334,7.87967982298847,-5.87027302974624,-0.0617651403034089,2.9957591264073
17.5941197255928,7.58215287757083,-5.88348829540525,-0.0450956995432078,2.95950981521075
17.8875756107886,7.28873597926038,-5.89103722542584,-0.0273699150978996,2.90722933912753
18.1750218128102,7.00136544491223,-5.89454429572144,-0.00969527669679663,2.83981505254563
18.4550100355661,6.72133767402699,-5.89570099243746,0.00768552693399486,2.75778415164436
18.7260499587938,6.45030129883921,-5.89606026890847,0.0272756541341244,2.6610220031401
18.986691071081,6.18969993521277,-5.89697029889271,0.0426498665216113,2.54958387652752
19.235527849245,5.94086050166357,-5.89969166307582,0.060750552276444,2.42580827404081
19.4715396993719,5.70490297869417,-5.90491354668011,0.0778263041280827,2.29331706081652
19.6939850690483,5.48262325976088,-5.91321756215706,0.0906474856236321,2.15517168811067
19.9024955384034,5.27445327339579,-5.92484777663695,0.107439848571724,2.01493819979588
20.09687601617,5.08064805765812,-5.93962203970922,0.124653411609833,1.87922271075893
20.2783639149542,4.90005209260315,-5.95746004724427,0.128057939198496,1.7521231509164
20.4475624503681,4.73213979722653,-5.97817045031655,0.151900653079369,1.63302145611722
20.6052480174628,4.57614520243412,-6.00110415424232,0.147103715429123,1.52159864166766
20.7521314216314,4.43143340152863,-6.02619598942428,0.18875348347748,1.41655816605787
20.8887454071072,4.29741686433899,-6.05265389094859,0.172218687891505,1.31560849013063
21.0154003160252,4.17390190616703,-6.08062875276659,0.186994470368084,1.21719268375016
21.1323846009206,4.06046089722671,-6.1091540645674,0.19679774186992,1.12612205655056
21.2407821010723,3.95600154762212,-6.13805910401895,0.204805703765959,1.04111253531002
21.3407378750618,3.86032309923354,-6.16693308113537,0.207526603653609,0.957446050872498
21.4325599335165,3.77304382440009,-6.19540907762262,0.197006217424251,0.881439088190127
21.5171794774271,3.693171591624,-6.22330832223966,0.271260329787927,0.809088292747917
21.5944859695169,3.62068339065817,-6.25012204631933,0.227358757278581,0.736862911645557
21.6649498275516,3.55518079030354,-6.27607944651316,0.118052605034564,0.674635447390574
21.7293305228302,3.49577121896019,-6.30083638681854,0.406088935513838,0.608092483899775
21.786462250194,3.44324203122621,-6.32325594134679,-1.66053649746124,0.535243405308674
21.8368917502486,3.3974041806721,-6.34425986725075,2.61304835346902,0.474843250941145
21.881900331404,3.35481664588821,-6.3591307963181,1.5602933231765,0.422943216722567
21.9231962187138,3.31785918504512,-6.37766776907191,-1.8438333684537,0.398443598191023
21.9629495850431,3.28340934875385,-6.39793096931357,1.34904684881834,0.396531921862554
22.003520116394,3.24705193093621,-6.41589915611488,-0.597739308825648,0.413346826585556
22.0460880831922,3.2098768817489,-6.43674640026238,1.40652869929936,0.43465534375403
22.0904782240172,3.17064672372497,-6.4575011865467,-0.947063690948956,0.447696342962804
22.1354686737024,3.13220099558192,-6.48097534154708,1.45763946244986,0.447216057404352
22.1798868704275,3.09335827759596,-6.50244029938393,-1.02202548223448,0.437328040214364
22.2232699059747,3.05682483391146,-6.52590913190556,1.4617799695624,0.42765794105234
22.2659015857066,3.01998433994581,-6.54728485259075,-0.802165281888013,0.42237408290361
22.3081706893417,2.98481550432519,-6.5707565802122,1.26444779447895,0.420239686129074
22.350717249557,2.9486984728982,-6.59313699320267,-0.25856843743687,0.431747748451046
22.3952549402173,2.91209347907806,-6.61850525413617,0.812577111215874,0.453870985296142
22.4416120771068,2.87373862483809,-6.6444622299069,0.0134273989284126,0.469598398061415
22.4892891191698,2.83525225716246,-6.67261267737,0.651454697749892,0.479817562773872
22.5376489974725,2.79628474166674,-6.7011528795382,0.108339356129129,0.484364293949152
22.5863733779667,2.75789919190721,-6.73115073835253,0.639590713688403,0.48641208935532
22.6351171330737,2.71968327711691,-6.76134235676863,0.0871621099100984,0.485877596540912
22.6838376965207,2.6824032283172,-6.79272803969083,0.696169319924077,0.485176322069314
22.7323773240541,2.64544567795584,-6.82411280293152,0.0490880959172974,0.483285255459187
22.7808172490481,2.609603120668,-6.85669780489881,0.765425617448211,0.482178328917534
22.8290605928899,2.57401753820065,-6.88920485549015,0.000122860744203616,0.480353891073381
22.8772232044006,2.5396712682773,-6.92298812904475,0.814788079401682,0.47948134454201
22.9252139263035,2.50549809091074,-6.95660154731811,-0.0327582126923355,0.477932733433868
22.9735825346874,2.47235479957856,-6.99182792183721,0.720612041392553,0.488437658239301
23.0235625821471,2.4380879203742,-7.02813666851519,0.211885530498596,0.508599640440371
23.0755282963488,2.40374932913838,-7.06713832510543,0.506862668645442,0.526375081483289
23.1289429416117,2.3689182745359,-7.10756514298936,0.455427778335692,0.539471361975702
23.1837386911925,2.33426436189555,-7.14999755065391,0.445570913974514,0.55455805611192
23.240341739673,2.29955887737041,-7.19465410075049,0.500295116858335,0.57772484649034
23.3000040609589,2.26409870482704,-7.24260433031975,0.587278663500396,0.6160885396894
